代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009756,300ETF沽3月3700,,,,,,,3.7,232.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.183,23.27,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009755,300ETF购3月3700,,,,,,,3.7,232.0,,,,10,0.0,0.483,0.0,,沪深300ETF,4.183,23.27,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009754,科创50沽3月1350,,,,,,,1.35,232.0,,0.2862,,10,0.0,0.241,0.0,,科创50ETF,1.109,41.16,2026-03-25,3.87,0.0,0.0,0.0,0.0,0.0,0.0
10009753,科创50购3月1350,,,,,,,1.35,232.0,,0.0541,,10,0.0,0.0,0.0,,科创50ETF,1.109,41.16,2026-03-25,20.5,0.0,0.0,0.0,0.0,0.0,0.0
10009752,科创50沽12月1350,,,,,,,1.35,141.0,,0.2671,,10,0.0,0.241,0.0,,科创50ETF,1.109,41.16,2025-12-24,4.15,0.0,0.0,0.0,0.0,0.0,0.0
10009751,科创50购12月1350,,,,,,,1.35,141.0,,0.0338,,10,0.0,0.0,0.0,,科创50ETF,1.109,41.16,2025-12-24,32.81,0.0,0.0,0.0,0.0,0.0,0.0
10009750,科创50沽8月1350,,,,,,,1.35,22.0,,0.238,,10,0.0,0.241,0.0,,科创50ETF,1.109,41.16,2025-08-27,4.66,0.0,0.0,0.0,0.0,0.0,0.0
10009749,科创50购8月1350,,,,,,,1.35,22.0,,0.0018,,10,0.0,0.0,0.0,,科创50ETF,1.109,41.16,2025-08-27,616.11,0.0,0.0,0.0,0.0,0.0,0.0
10009748,500ETF沽3月7500,,,,,,,7.5,232.0,,1.5006,,10,0.0,1.124,0.0,,中证500ETF,6.376,26.33,2026-03-25,4.25,0.0,0.0,0.0,0.0,0.0,0.0
10009747,500ETF购3月7500,,,,,,,7.5,232.0,,0.0762,,10,0.0,0.0,0.0,,中证500ETF,6.376,26.33,2026-03-25,83.67,0.0,0.0,0.0,0.0,0.0,0.0
10009746,500ETF沽12月7500,,,,,,,7.5,141.0,,1.3628,,10,0.0,1.124,0.0,,中证500ETF,6.376,26.33,2025-12-24,4.68,0.0,0.0,0.0,0.0,0.0,0.0
10009745,500ETF购12月7500,,,,,,,7.5,141.0,,0.0485,,10,0.0,0.0,0.0,,中证500ETF,6.376,26.33,2025-12-24,131.46,0.0,0.0,0.0,0.0,0.0,0.0
10009744,500ETF沽9月7500,,,,,,,7.5,50.0,,,,10,0.0,1.124,0.0,,中证500ETF,6.376,26.33,2025-09-24,5.28,0.0,0.0,0.0,0.0,0.0,0.0
