代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009784,科创50沽3月1400,,,,,,,1.4,218.0,,,,10,0.0,0.23,0.0,,科创50ETF,1.17,41.22,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009783,科创50购3月1400,,,,,,,1.4,218.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.17,41.22,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009782,科创50沽12月1400,,,,,,,1.4,127.0,,,,10,0.0,0.23,0.0,,科创50ETF,1.17,41.22,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009781,科创50购12月1400,,,,,,,1.4,127.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.17,41.22,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009780,科创50沽8月1400,,,,,,,1.4,8.0,,,,10,0.0,0.23,0.0,,科创50ETF,1.17,41.22,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009779,科创50购8月1400,,,,,,,1.4,8.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.17,41.22,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009778,科创板50沽3月1350,,,,,,,1.35,218.0,,,,10,0.0,0.207,0.0,,科创板50ETF,1.143,40.53,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009777,科创板50购3月1350,,,,,,,1.35,218.0,,,,10,0.0,0.0,0.0,,科创板50ETF,1.143,40.53,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009776,科创板50沽12月1350,,,,,,,1.35,127.0,,,,10,0.0,0.207,0.0,,科创板50ETF,1.143,40.53,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009775,科创板50购12月1350,,,,,,,1.35,127.0,,,,10,0.0,0.0,0.0,,科创板50ETF,1.143,40.53,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009774,科创板50沽8月1350,,,,,,,1.35,8.0,,,,10,0.0,0.207,0.0,,科创板50ETF,1.143,40.53,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009773,科创板50购8月1350,,,,,,,1.35,8.0,,,,10,0.0,0.0,0.0,,科创板50ETF,1.143,40.53,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009772,500ETF沽3月7750,,,,,,,7.75,218.0,,,,10,0.0,1.017,0.0,,中证500ETF,6.733,26.37,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009771,500ETF购3月7750,,,,,,,7.75,218.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.733,26.37,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009770,500ETF沽12月7750,,,,,,,7.75,127.0,,,,10,0.0,1.017,0.0,,中证500ETF,6.733,26.37,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009769,500ETF购12月7750,,,,,,,7.75,127.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.733,26.37,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009768,500ETF沽9月7750,,,,,,,7.75,36.0,,,,10,0.0,1.017,0.0,,中证500ETF,6.733,26.37,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009767,500ETF购9月7750,,,,,,,7.75,36.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.733,26.37,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009766,500ETF沽8月7750,,,,,,,7.75,8.0,,,,10,0.0,1.017,0.0,,中证500ETF,6.733,26.37,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009765,500ETF购8月7750,,,,,,,7.75,8.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.733,26.37,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009764,300ETF沽3月4700,,,,,,,4.7,218.0,,0.55,,10,0.155,0.395,0.0,,沪深300ETF,4.305,23.26,2026-03-25,8.26,0.0,0.0,0.0,0.0,0.0,0.0
10009763,300ETF购3月4700,,,,,,,4.7,218.0,,0.0971,,10,0.0971,0.0,0.0,,沪深300ETF,4.305,23.26,2026-03-25,35.73,0.0,0.0,0.0,0.0,0.0,0.0
10009762,300ETF沽12月4700,,,,,,,4.7,127.0,,0.507,,10,0.088,0.395,0.0,,沪深300ETF,4.305,23.26,2025-12-24,8.91,0.0,0.0,0.0,0.0,0.0,0.0
