日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-03-18,0.0001,0.0002,0.0001,0.0002,67,300ETF沽3月3000,6,0,0,0,0,0.522,0.0002,0.0001,510300P2503M03000,3.0000,0.0002,0
2025-03-18,0.0003,0.0003,0.0002,0.0002,94,300ETF沽3月3100,17,0,0,0,0,0.522,0.0003,0.0002,510300P2503M03100,3.1000,0.0002,0
2025-03-18,0.0003,0.0003,0.0002,0.0002,1471,300ETF沽3月3200,101,0,0,0,0,0.522,0.0003,0.0002,510300P2503M03200,3.2000,0.0002,0
2025-03-18,0.0002,0.0002,0.0001,0.0002,328,300ETF沽3月3300,35,0,0,0,0,0.5211,0.0002,0.0001,510300P2503M03300,3.3000,0.0002,0
2025-03-18,0.0003,0.0003,0.0002,0.0002,185,300ETF沽3月3400,17,0,0,0,0,0.4583,0.0003,0.0002,510300P2503M03400,3.4000,0.0002,0
2025-03-18,0.0003,0.0003,0.0002,0.0002,791,300ETF沽3月3500,89,-0,0,0,0,0.3941,0.0003,0.0002,510300P2503M03500,3.5000,0.0002,0
2025-03-18,0.0002,0.0003,0.0002,0.0002,32837,300ETF沽3月3600,1276,-0,0,0,0,0.3293,0.0003,0.0002,510300P2503M03600,3.6000,0.0002,0
2025-03-18,0.0006,0.0006,0.0004,0.0004,56321,300ETF沽3月3700,911,-0,0.0001,0,0,0.2882,0.0006,0.0004,510300P2503M03700,3.7000,0.0004,0
2025-03-18,0.0005,0.0008,0.0005,0.0005,254218,300ETF沽3月3800,2790,-0.0002,0.0094,-0.0017,0.0005,0.2287,0.0008,0.0005,510300P2503M03800,3.8000,0.0005,0
2025-03-18,0.0017,0.0021,0.0009,0.0011,12722363,300ETF沽3月3900,14626,-0.0098,0.2867,-0.0527,0.0159,0.181,0.0021,0.0009,510300P2503M03900,3.9000,0.0011,0.0003
2025-03-18,0.1059,0.1172,0.09,0.109,286346127,300ETF沽3月4200,22583,-0.8417,2.6514,-0.3603,0.1468,0.1991,0.1172,0.0900,510300P2503M04200,4.2000,0.1090,0.1008
2025-03-18,0.3009,0.305,0.2856,0.299,196280,300ETF沽3月4400,80,-0.999,0.0363,0.1688,0.002,0.3124,0.3050,0.2856,510300P2503M04400,4.4000,0.2990,0.2932
2025-03-18,0.3988,0.4059,0.3846,0.3981,256133,300ETF沽3月4500,124,-1,0.001,0.1797,0.0001,0.3764,0.4059,0.3846,510300P2503M04500,4.5000,0.3981,0.3931
2025-03-18,0.896,0.896,0.896,0.896,6,深证100ETF购3月1950,1,0,NAN,0,0,0,0.8960,0.8960,159901C2503M001950,1.9500,0.8960,0
2025-03-18,0.833,0.833,0.833,0.833,6,深证100ETF购3月2000,1,0,NAN,0,0,0,0.8330,0.8330,159901C2503M002000,2.0000,0.8330,0
2025-03-18,0.283,0.283,0.283,0.283,6,深证100ETF购3月2550,1,0,NAN,0,0,0,0.2830,0.2830,159901C2503M002550,2.5500,0.2830,0
2025-03-18,0.1988,0.2033,0.1832,0.2033,628,深证100ETF购3月2650,36,0,NAN,0,0,0,0.2033,0.1832,159901C2503M002650,2.6500,0.2033,0
2025-03-18,0.1389,0.155,0.1319,0.1468,8212,深证100ETF购3月2700,160,0,NAN,0,0,0,0.1550,0.1319,159901C2503M002700,2.7000,0.1468,0
2025-03-18,0.0576,0.0683,0.0494,0.0588,1989838,深证100ETF购3月2800,3260,0,NAN,0,0,0,0.0683,0.0494,159901C2503M002800,2.8000,0.0588,0
2025-03-18,0.0306,0.0371,0.0252,0.0306,5383492,深证100ETF购3月2850,6345,0,NAN,0,0,0,0.0371,0.0252,159901C2503M002850,2.8500,0.0306,0
2025-03-18,0.0147,0.0198,0.0117,0.0145,4295680,深证100ETF购3月2900,5959,0,NAN,0,0,0,0.0198,0.0117,159901C2503M002900,2.9000,0.0145,0
2025-03-18,0.0036,0.0054,0.0032,0.004,528390,深证100ETF购3月3000,2069,0,NAN,0,0,0,0.0054,0.0032,159901C2503M003000,3.0000,0.0040,0
2025-03-18,0.0013,0.0019,0.0013,0.0015,65628,深证100ETF购3月3100,770,0,NAN,0,0,0,0.0019,0.0013,159901C2503M003100,3.1000,0.0015,0
2025-03-18,0.0007,0.0007,0.0003,0.0003,28454,深证100ETF购3月3400,909,0,NAN,0,0,0,0.0007,0.0003,159901C2503M003400,3.4000,0.0003,0
2025-03-18,0.0004,0.0005,0.0001,0.0001,52600,深证100ETF购3月3600,1266,0,NAN,0,0,0,0.0005,0.0001,159901C2503M003600,3.6000,0.0001,0
2025-03-18,0.0001,0.0001,0.0001,0.0001,102,深证100ETF沽3月1950,11,-1,NAN,0.0779,0,0,0.0001,0.0001,159901P2503M001950,1.9500,0.0001,1.9483
2025-03-18,0.0001,0.0001,0.0001,0.0001,14358,深证100ETF沽3月2000,691,-1,NAN,0.0799,0,0,0.0001,0.0001,159901P2503M002000,2.0000,0.0001,1.9982
2025-03-18,0.0001,0.0001,0.0001,0.0001,3078,深证100ETF沽3月2050,248,-1,NAN,0.0819,0,0,0.0001,0.0001,159901P2503M002050,2.0500,0.0001,2.0482
