代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10010030,300ETF沽3月5250,,,,,,,5.25,187.0,,,,10,0.1091,0.646,0.0,,沪深300ETF,4.604,23.39,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010029,300ETF购3月5250,,,,,,,5.25,187.0,,,,10,0.0682,0.0,0.0,,沪深300ETF,4.604,23.39,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010028,300ETF沽12月5250,,,,,,,5.25,96.0,,,,10,0.0,0.646,0.0,,沪深300ETF,4.604,23.39,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010027,300ETF购12月5250,,,,,,,5.25,96.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.604,23.39,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010026,300ETF沽10月5250,,,,,,,5.25,33.0,,,,10,0.0268,0.646,0.0,,沪深300ETF,4.604,23.39,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010025,300ETF购10月5250,,,,,,,5.25,33.0,,,,10,0.0079,0.0,0.0,,沪深300ETF,4.604,23.39,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010024,300ETF沽9月5250,,,,,,,5.25,5.0,,,,10,0.0155,0.646,0.0,,沪深300ETF,4.604,23.39,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010023,300ETF购9月5250,,,,,,,5.25,5.0,,,,10,0.0005,0.0,0.0,,沪深300ETF,4.604,23.39,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010022,科创板50沽10月1050,,,,,,,1.05,33.0,,,,10,0.0039,0.0,0.0,,科创板50ETF,1.398,43.14,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010021,科创板50购10月1050,,,,,,,1.05,33.0,,,,10,0.017,0.348,0.0,,科创板50ETF,1.398,43.14,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010020,科创50沽10月1100,,,,,,,1.1,33.0,,,,10,0.005,0.0,0.0,,科创50ETF,1.431,43.65,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
