代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009204,科创50沽6月750,0.0007,0.0002,40.0,7678.0,57576.0,37691.0,0.75,26.0,6047.0,0.0005,0.0006,10,0.0007,0.0,53.91,0.0001,科创50ETF,1.03,42.15,2025-06-25,1471.43,3.24,-0.0022,0.0609,0.002,-0.0001,-0.0056
10009178,300ETF沽6月3300,0.0015,0.0004,36.36,2141.0,30637.0,10641.0,3.3,26.0,926.0,0.0011,0.0011,10,0.0015,0.0,30.66,0.0001,沪深300ETF,3.959,22.96,2025-06-25,2639.33,3.7,-0.0014,0.02,0.0053,-0.0004,-0.0081
10008712,300ETF沽6月3400,0.0021,0.0005,31.25,3683.0,78075.0,19265.0,3.4,26.0,1391.0,0.0016,0.0017,10,0.0021,0.0,27.54,0.0005,沪深300ETF,3.959,22.96,2025-06-25,1885.24,12.07,-0.0064,0.0736,0.0196,-0.0018,-0.0299
10008352,300ETF沽6月3600,0.0039,0.0008,25.81,10312.0,446803.0,22635.0,3.6,26.0,2222.0,0.0031,0.0033,10,0.0039,0.0,20.8,0.0063,沪深300ETF,3.959,22.96,2025-06-25,1015.13,59.08,-0.0582,0.4711,0.1254,-0.0174,-0.1913
10008325,科创50沽6月900,0.0023,0.0004,21.05,5093.0,119841.0,24836.0,0.9,26.0,2054.0,0.0019,0.0022,10,0.0023,0.0,32.42,0.0064,科创50ETF,1.03,42.15,2025-06-25,447.83,47.83,-0.1068,1.5608,0.0516,-0.0085,-0.1453
10008327,科创50沽6月1000,0.013,0.0022,20.37,36378.0,4889918.0,77894.0,1.0,26.0,3816.0,0.0108,0.0113,10,0.013,0.0,23.24,0.0325,科创50ETF,1.03,42.15,2025-06-25,79.23,29.55,-0.373,3.2079,0.1061,-0.0307,-0.2965
10008360,科创板50沽6月750,0.0006,0.0001,20.0,1563.0,9639.0,13969.0,0.75,26.0,416.0,0.0005,0.0006,10,0.0006,0.0,50.0,0.0001,科创板50ETF,1.005,41.51,2025-06-25,1675.0,6.37,-0.0038,0.1027,0.0032,-0.0002,-0.0088
10008328,科创50沽6月1050,0.0387,0.0064,19.81,41155.0,16077420.0,63206.0,1.05,26.0,-4859.0,0.0323,0.0343,10,0.0187,0.02,25.0,0.0576,科创50ETF,1.03,42.15,2025-06-25,26.61,14.39,-0.5406,3.3628,0.1112,-0.0454,-0.3085
10009192,500ETF沽6月4700,0.0031,0.0005,19.23,2179.0,67061.0,10446.0,4.7,26.0,759.0,0.0026,0.0028,10,0.0031,0.0,33.79,0.0006,中证500ETF,5.694,27.36,2025-06-25,1836.77,7.71,-0.0042,0.0297,0.0194,-0.0017,-0.0355
10008326,科创50沽6月950,0.0044,0.0007,18.92,15036.0,719350.0,47464.0,0.95,26.0,4719.0,0.0037,0.0041,10,0.0044,0.0,26.17,0.0158,科创50ETF,1.03,42.15,2025-06-25,234.09,51.55,-0.2202,2.5106,0.083,-0.0179,-0.2331
