日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-05-30,0.2987,0.2987,0.2844,0.2844,21891,50ETF购6月2450A,11,0.9964,0.0879,-0.1064,0.0078,0.0009,0.2987,0.2844,510050C2506A02500,2.4500,0.2844,0.3061
2025-05-30,0.2114,0.2114,0.187,0.2014,297764,50ETF购6月2548A,78,0.9644,0.6451,-0.1645,0.0575,0.0009,0.2114,0.1870,510050C2506A02600,2.5480,0.2014,0.21
2025-05-30,0.1641,0.1641,0.1396,0.1571,994637,50ETF购6月2597A,273,0.9151,1.2789,-0.2267,0.1141,0.0009,0.1641,0.1396,510050C2506A02650,2.5970,0.1571,0.1642
2025-05-30,0.1192,0.1192,0.0971,0.1109,2467750,50ETF购6月2646A,523,0.829,2.0897,-0.303,0.1864,0.0739,0.1192,0.0971,510050C2506A02700,2.6460,0.1109,0.1219
2025-05-30,0.0751,0.0794,0.0596,0.0707,10249517,50ETF购6月2695A,1909,0.7038,2.8441,-0.3689,0.2536,0.1051,0.0794,0.0596,510050C2506A02750,2.6950,0.0707,0.085
2025-05-30,0.0228,0.0248,0.0168,0.0201,26003139,50ETF购6月2793A,5524,0.3926,3.1624,-0.3698,0.282,0.1196,0.0248,0.0168,510050C2506A02850,2.7930,0.0201,0.0329
2025-05-30,0.0118,0.0125,0.0085,0.0093,4057020,50ETF购6月2842A,3824,0.2527,2.6294,-0.2998,0.2345,0.1258,0.0125,0.0085,510050C2506A02900,2.8420,0.0093,0.018
2025-05-30,0.0062,0.0066,0.0046,0.005,943133,50ETF购6月2891A,2293,0.1463,1.8862,-0.2113,0.1682,0.1393,0.0066,0.0046,510050C2506A02950,2.8910,0.0050,0.009
2025-05-30,0.0041,0.0041,0.003,0.0031,853013,50ETF购6月2940A,3071,0.076,1.1762,-0.1302,0.1049,0.1557,0.0041,0.0030,510050C2506A03000,2.9400,0.0031,0.0041
2025-05-30,0.0026,0.0029,0.002,0.0021,828179,50ETF购6月3000,4388,0.0294,0.5506,-0.0603,0.0491,0.1788,0.0029,0.0020,510050C2506M03000,3.0000,0.0021,0.0014
2025-05-30,0.0024,0.0025,0.0018,0.0018,45898,50ETF购6月3038A,541,0.0148,0.3088,-0.0336,0.0275,0.1948,0.0025,0.0018,510050C2506A03100,3.0380,0.0018,0.0006
