代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009408,科创板50沽7月1000,0.0152,0.0034,28.81,12515.0,1831791.0,23087.0,1.0,21.0,-998.0,0.0118,0.0118,10,0.0152,0.0,20.02,0.0359,科创板50ETF,1.009,41.25,2025-07-23,66.38,29.31,-0.4415,3.8596,0.0978,-0.0289,-0.3284
10009446,300ETF沽7月3500,0.001,0.0002,25.0,980.0,10194.0,9972.0,3.5,21.0,299.0,0.0008,0.001,10,0.001,0.0,24.22,0.0008,沪深300ETF,3.992,23.53,2025-07-23,3992.0,40.32,-0.0101,0.1176,0.0266,-0.0024,-0.0513
10009391,科创50沽7月1050,0.0292,0.0056,23.73,51898.0,14383985.0,74314.0,1.05,21.0,2388.0,0.0236,0.0245,10,0.0142,0.015,20.9,0.0502,科创50ETF,1.035,41.89,2025-07-23,35.45,18.86,-0.5321,3.7338,0.101,-0.0361,-0.3434
10009390,科创50沽7月1000,0.0063,0.0012,23.53,30832.0,1917841.0,83933.0,1.0,21.0,5152.0,0.0051,0.0052,10,0.0063,0.0,19.14,0.0263,科创50ETF,1.035,41.89,2025-07-23,164.29,56.99,-0.3469,3.467,0.0938,-0.0231,-0.3211
10009389,科创50沽7月950,0.0016,0.0003,23.08,11213.0,157256.0,35174.0,0.95,21.0,2424.0,0.0013,0.0012,10,0.0016,0.0,23.24,0.0114,科创50ETF,1.035,41.89,2025-07-23,646.88,120.38,-0.1861,2.5167,0.0681,-0.0122,-0.234
10009592,科创板50沽8月900,0.005,0.0008,19.05,1344.0,69955.0,1501.0,0.9,56.0,-1023.0,0.0042,0.0047,10,0.005,0.0,24.32,0.0217,科创板50ETF,1.009,41.25,2025-08-27,201.8,43.02,-0.2132,1.7673,0.116,-0.0369,-0.1501
10009181,300ETF沽9月3227A,0.0032,0.0005,18.52,11353.0,326964.08,11777.0,3.227,84.0,237.0,0.0027,0.0027,10,0.0032,0.0,22.27,0.0045,沪深300ETF,3.992,23.53,2025-09-24,1247.5,31.31,-0.0251,0.1298,0.1134,-0.0244,-0.0558
10009407,科创板50沽7月950,0.0033,0.0005,17.86,2663.0,83638.0,20798.0,0.95,21.0,843.0,0.0028,0.0029,10,0.0033,0.0,21.68,0.0167,科创板50ETF,1.009,41.25,2025-07-23,305.76,78.52,-0.2568,3.1524,0.0799,-0.0165,-0.2697
10009182,300ETF沽9月3325A,0.0044,0.0006,15.79,15759.0,610322.45,7714.0,3.325,84.0,766.0,0.0038,0.0036,10,0.0044,0.0,20.7,0.0088,沪深300ETF,3.992,23.53,2025-09-24,907.27,40.92,-0.0451,0.2099,0.1833,-0.044,-0.0901
10009409,科创板50沽7月1050,0.0493,0.0067,15.73,4457.0,2142395.0,6581.0,1.05,21.0,-207.0,0.0426,0.0437,10,0.0083,0.041,23.83,0.0647,科创板50ETF,1.009,41.25,2025-07-23,20.47,12.91,-0.6309,3.689,0.0934,-0.0422,-0.3107
10009574,科创50沽8月950,0.0075,0.001,15.38,1518.0,114400.0,10145.0,0.95,56.0,646.0,0.0065,0.0071,10,0.0075,0.0,22.46,0.0309,科创50ETF,1.035,41.89,2025-08-27,138.0,37.26,-0.27,1.9292,0.1353,-0.0484,-0.1774
10009593,科创板50沽8月950,0.0124,0.0015,13.76,696.0,87284.0,4194.0,0.95,56.0,316.0,0.0109,0.0115,10,0.0124,0.0,22.46,0.0377,科创板50ETF,1.009,41.25,2025-08-27,81.37,26.15,-0.3214,2.177,0.1429,-0.0565,-0.184
10009594,科创板50沽8月1000,0.0309,0.0036,13.19,545.0,166404.0,1117.0,1.0,56.0,207.0,0.0273,0.0294,10,0.0309,0.0,22.85,0.0599,科创板50ETF,1.009,41.25,2025-08-27,32.65,14.39,-0.4407,2.3971,0.1573,-0.0787,-0.2012
10009392,科创50沽7月1100,0.0701,0.0078,12.52,11764.0,8055968.0,17019.0,1.1,21.0,-268.0,0.0623,0.0627,10,0.0051,0.065,25.39,0.0831,科创50ETF,1.035,41.89,2025-07-23,14.76,10.38,-0.7028,3.2502,0.088,-0.0488,-0.2951
10009351,300ETF沽7月3520A,0.0009,0.0001,12.5,154.0,1316.09,4867.0,3.52,21.0,40.0,0.0008,0.0008,10,0.0009,0.0,23.05,0.0011,沪深300ETF,3.992,23.53,2025-07-23,4435.56,58.11,-0.0131,0.1471,0.0333,-0.0031,-0.0641
10009299,科创板50沽12月900,0.0285,0.0029,11.33,148.0,41956.0,2853.0,0.9,175.0,13.0,0.0256,0.0267,10,0.0285,0.0,27.29,0.0605,科创板50ETF,1.009,41.25,2025-12-24,35.4,10.13,-0.2862,1.1765,0.2384,-0.1684,-0.0974
10009448,300ETF沽7月3700,0.002,0.0002,11.11,5039.0,102630.0,19262.0,3.7,21.0,742.0,0.0018,0.0019,10,0.002,0.0,16.89,0.0095,沪深300ETF,3.992,23.53,2025-07-23,1996.0,174.25,-0.0873,0.6887,0.1557,-0.0215,-0.2992
10009575,科创50沽8月1000,0.0191,0.0019,11.05,3204.0,614261.0,16663.0,1.0,56.0,2112.0,0.0172,0.0172,10,0.0191,0.0,21.53,0.0502,科创50ETF,1.035,41.89,2025-08-27,54.19,20.64,-0.3809,2.2229,0.1559,-0.0693,-0.2032
10008820,300ETF沽9月3423A,0.0065,0.0006,10.17,17613.0,1097924.72,9583.0,3.423,84.0,725.0,0.0059,0.0057,10,0.0065,0.0,19.29,0.016,沪深300ETF,3.992,23.53,2025-09-24,614.15,46.18,-0.0752,0.3132,0.2735,-0.0736,-0.134
10009194,500ETF沽9月4700,0.0098,0.0009,10.11,27740.0,2540900.0,22170.0,4.7,84.0,-19.0,0.0089,0.009,10,0.0098,0.0,27.34,0.0094,中证500ETF,5.947,27.12,2025-09-24,606.84,18.02,-0.0297,0.0868,0.1942,-0.0434,-0.1108
10008838,500ETF沽9月4800,0.0123,0.0011,9.82,9622.0,1123987.0,39155.0,4.8,84.0,26.0,0.0112,0.011,10,0.0123,0.0,26.42,0.0142,中证500ETF,5.947,27.12,2025-09-24,483.5,20.45,-0.0423,0.116,0.2595,-0.062,-0.1478
10009410,科创板50沽7月1100,0.0953,0.0082,9.41,1226.0,1157617.0,1524.0,1.1,21.0,7.0,0.0871,0.088,10,0.0043,0.091,30.86,0.102,科创板50ETF,1.009,41.25,2025-07-23,10.59,8.32,-0.7862,2.8474,0.0721,-0.0539,-0.2352
10009577,科创50沽8月1100,0.0829,0.0071,9.37,975.0,793087.0,1674.0,1.1,56.0,466.0,0.0758,0.078,10,0.0179,0.065,26.61,0.1061,科创50ETF,1.035,41.89,2025-08-27,12.48,7.58,-0.6073,2.2423,0.1572,-0.1147,-0.2013
10008878,科创板50沽9月1000,0.0433,0.0037,9.34,2576.0,1099262.0,6506.0,1.0,84.0,-391.0,0.0396,0.0404,10,0.0433,0.0,25.44,0.0737,科创板50ETF,1.009,41.25,2025-09-24,23.3,10.17,-0.4364,1.9596,0.1918,-0.1196,-0.1632
10009595,科创板50沽8月1050,0.0629,0.0052,9.01,270.0,170255.0,537.0,1.05,56.0,41.0,0.0577,0.0608,10,0.0219,0.041,25.0,0.0881,科创板50ETF,1.009,41.25,2025-08-27,16.04,8.98,-0.5596,2.3966,0.1573,-0.1018,-0.1993
10008876,科创板50沽9月900,0.0109,0.0009,9.0,1000.0,102695.0,8988.0,0.9,84.0,10.0,0.01,0.0102,10,0.0109,0.0,25.73,0.0325,科创板50ETF,1.009,41.25,2025-09-24,92.57,22.72,-0.2454,1.5657,0.1532,-0.0651,-0.1321
