代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009347,300ETF购7月4009A,0.049,0.0124,33.88,23954.0,10649214.26,17728.0,4.009,20.0,221.0,0.0366,0.0389,10,0.043,0.006,11.55,0.0949,沪深300ETF,4.015,23.52,2025-07-23,81.94,43.19,0.5271,1.7563,0.3833,0.1163,-0.8102
10009348,300ETF购7月4107A,0.0163,0.0038,30.4,10022.0,1548321.73,24536.0,4.107,20.0,-2958.0,0.0125,0.0132,10,0.0163,0.0,12.43,0.0537,沪深300ETF,4.015,23.52,2025-07-23,246.32,88.55,0.3595,1.65,0.3601,0.0799,-0.7545
10009349,300ETF购7月4205A,0.0069,0.0016,30.19,5493.0,350405.14,12869.0,4.205,20.0,-448.0,0.0053,0.0056,10,0.0069,0.0,14.79,0.0276,沪深300ETF,4.015,23.52,2025-07-23,581.88,127.08,0.2184,1.301,0.284,0.0489,-0.5917
10009499,300ETF购7月4400,0.0031,0.0007,29.17,5142.0,151428.0,24627.0,4.4,20.0,1095.0,0.0024,0.0025,10,0.0031,0.0,21.09,0.0054,沪深300ETF,4.015,23.52,2025-07-23,1295.16,73.82,0.057,0.5047,0.1101,0.0128,-0.2281
10009442,300ETF购7月4000,0.0523,0.0113,27.56,114533.0,54996431.0,69977.0,4.0,20.0,718.0,0.041,0.0423,10,0.0373,0.015,11.13,0.0995,沪深300ETF,4.015,23.52,2025-07-23,76.77,41.68,0.5429,1.7502,0.382,0.1197,-0.8082
10009444,300ETF购7月4200,0.0071,0.0015,26.79,27698.0,1828418.0,49922.0,4.2,20.0,6059.0,0.0056,0.006,10,0.0071,0.0,14.65,0.0286,沪深300ETF,4.015,23.52,2025-07-23,565.49,127.07,0.2247,1.3222,0.2886,0.0503,-0.6015
10009443,300ETF购7月4100,0.0173,0.0034,24.46,56450.0,9349855.0,81489.0,4.1,20.0,-1348.0,0.0139,0.0143,10,0.0173,0.0,12.21,0.0561,沪深300ETF,4.015,23.52,2025-07-23,232.08,86.06,0.3708,1.6673,0.3639,0.0824,-0.7628
10009346,300ETF购7月3912A,0.1141,0.0199,21.13,12151.0,13037602.91,14889.0,3.912,20.0,-1240.0,0.0942,0.0972,10,0.0111,0.103,10.84,0.152,沪深300ETF,4.015,23.52,2025-07-23,35.19,24.35,0.6921,1.552,0.3387,0.1511,-0.7269
10009535,300ETF购8月4400,0.0104,0.0018,20.93,4347.0,400238.0,6605.0,4.4,55.0,142.0,0.0086,0.0092,10,0.0104,0.0,16.55,0.034,沪深300ETF,4.015,23.52,2025-08-27,386.06,68.45,0.1773,0.7024,0.4088,0.104,-0.3222
10008911,科创50购9月1350,0.0064,0.0011,20.75,4429.0,228866.0,26418.0,1.35,83.0,1115.0,0.0053,0.0059,10,0.0064,0.0,36.91,0.0107,科创50ETF,1.036,41.9,2025-09-24,161.88,18.57,0.1147,0.9305,0.0963,0.0249,-0.0889
10008907,300ETF购9月4401A,0.0224,0.0038,20.43,23155.0,5071765.7,19956.0,4.401,83.0,-1667.0,0.0186,0.0197,10,0.0224,0.0,16.63,0.0583,沪深300ETF,4.015,23.52,2025-09-24,179.24,41.71,0.2327,0.6743,0.5886,0.2016,-0.3123
10009403,科创板50购7月1200,0.0012,0.0002,20.0,1683.0,18665.0,11858.0,1.2,20.0,552.0,0.001,0.0011,10,0.0012,0.0,38.28,0.0018,科创板50ETF,1.009,41.25,2025-07-23,840.83,37.84,0.045,0.9499,0.0229,0.0025,-0.0827
