代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009216,科创板50沽9月750,0.0032,0.001,45.45,9058.0,257391.0,12835.0,0.75,89.0,1981.0,0.0022,0.0021,10,0.0032,0.0,36.91,0.0054,科创板50ETF,1.013,41.29,2025-09-24,316.56,17.85,-0.0564,0.5475,0.0572,-0.0154,-0.047
10009572,科创50沽8月850,0.002,0.0006,42.86,2111.0,36975.0,2328.0,0.85,61.0,1200.0,0.0014,0.0017,10,0.002,0.0,29.1,0.0093,科创50ETF,1.041,41.92,2025-08-27,520.5,52.83,-0.1015,0.9872,0.0762,-0.0195,-0.0924
10009590,科创板50沽8月800,0.0015,0.0004,36.36,3185.0,42558.0,2113.0,0.8,61.0,1465.0,0.0011,0.001,10,0.0015,0.0,31.25,0.0056,科创板50ETF,1.013,41.29,2025-08-27,675.33,46.33,-0.0686,0.7679,0.0553,-0.0127,-0.0661
10008874,科创板50沽9月800,0.004,0.001,33.33,3264.0,108154.0,5242.0,0.8,89.0,836.0,0.003,0.0028,10,0.004,0.0,31.84,0.011,科创板50ETF,1.013,41.29,2025-09-24,253.25,25.83,-0.102,0.858,0.0896,-0.0281,-0.0734
10009337,50ETF沽7月2800,0.038,0.0088,30.14,129460.0,43185494.0,67553.0,2.8,26.0,-6545.0,0.0292,0.0276,10,0.033,0.005,12.16,0.0632,上证50ETF,2.795,20.46,2025-07-23,73.55,36.39,-0.4947,2.5651,0.3032,-0.1069,-0.4003
10009338,50ETF沽7月2850,0.0708,0.0157,28.49,87469.0,53242184.0,27254.0,2.85,26.0,-2049.0,0.0551,0.0515,10,0.0158,0.055,12.84,0.0922,上证50ETF,2.795,20.46,2025-07-23,39.48,24.46,-0.6197,2.4487,0.2895,-0.1349,-0.3764
10009336,50ETF沽7月2750,0.0173,0.0037,27.21,102999.0,16200158.0,92227.0,2.75,26.0,-9606.0,0.0136,0.0132,10,0.0173,0.0,12.06,0.0406,上证50ETF,2.795,20.46,2025-07-23,161.56,59.45,-0.368,2.4238,0.2865,-0.079,-0.3822
10009339,50ETF沽7月2900,0.112,0.0213,23.48,31646.0,30202722.0,7185.0,2.9,26.0,993.0,0.0907,0.0885,10,0.007,0.105,13.87,0.127,上证50ETF,2.795,20.46,2025-07-23,24.96,18.25,-0.7315,2.1199,0.2506,-0.1606,-0.3181
10009591,科创板50沽8月850,0.0027,0.0005,22.73,881.0,22869.0,579.0,0.85,61.0,397.0,0.0022,0.0022,10,0.0027,0.0,27.73,0.012,科创板50ETF,1.013,41.29,2025-08-27,375.19,48.51,-0.1293,1.2235,0.088,-0.0242,-0.105
10009447,300ETF沽7月3600,0.0017,0.0003,21.43,2608.0,40184.0,10787.0,3.6,26.0,725.0,0.0014,0.0015,10,0.0017,0.0,18.16,0.0068,沪深300ETF,3.963,23.53,2025-07-23,2331.18,141.27,-0.0606,0.4744,0.1296,-0.0182,-0.2028
10008875,科创板50沽9月850,0.0063,0.0011,21.15,4472.0,250975.0,8565.0,0.85,89.0,1064.0,0.0052,0.0048,10,0.0063,0.0,28.32,0.02,科创板50ETF,1.013,41.29,2025-09-24,160.79,26.51,-0.1649,1.1955,0.1249,-0.0461,-0.102
