日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-07-16,0.4649,0.4649,0.4503,0.4559,7821,50ETF购9月2400,14,1,0,-0.0953,0,0.0009,0.4649,0.4503,510050C2509M02400,2.4000,0.4559,0.4683
2025-07-16,0.41,0.41,0.3993,0.41,30081,50ETF购9月2450,15,1,0.0002,-0.0973,0,0.0009,0.4100,0.3993,510050C2509M02450,2.4500,0.4100,0.4187
2025-07-16,0.3345,0.363,0.3345,0.3589,76012,50ETF购9月2500,23,0.9999,0.0021,-0.0993,0.0003,0.0009,0.3630,0.3345,510050C2509M02500,2.5000,0.3589,0.3691
2025-07-16,0.3208,0.3235,0.3065,0.3098,31912,50ETF购9月2550,14,0.9996,0.0155,-0.1016,0.002,0.0009,0.3235,0.3065,510050C2509M02550,2.5500,0.3098,0.3195
2025-07-16,0.2616,0.267,0.2541,0.2635,600905,50ETF购9月2600,214,0.9973,0.0808,-0.1051,0.0103,0.0009,0.2670,0.2541,510050C2509M02600,2.6000,0.2635,0.27
2025-07-16,0.2135,0.2291,0.21,0.22,1096505,50ETF购9月2650,287,0.9879,0.3067,-0.1122,0.0392,0.0009,0.2291,0.2100,510050C2509M02650,2.6500,0.2200,0.2207
2025-07-16,0.1755,0.1873,0.168,0.1713,1421372,50ETF购9月2700,498,0.9586,0.8647,-0.1261,0.1106,0.0696,0.1873,0.1680,510050C2509M02700,2.7000,0.1713,0.1724
2025-07-16,0.1375,0.1489,0.1294,0.1371,5128308,50ETF购9月2750,1309,0.8896,1.8393,-0.1467,0.2353,0.1178,0.1489,0.1294,510050C2509M02750,2.7500,0.1371,0.1266
2025-07-16,0.105,0.1148,0.0972,0.1041,22865996,50ETF购9月2800,4638,0.7653,2.9959,-0.1659,0.3833,0.126,0.1148,0.0972,510050C2509M02800,2.8000,0.1041,0.0857
2025-07-16,0.0775,0.0862,0.0716,0.0777,47144752,50ETF购9月2850,9164,0.5914,3.7891,-0.1691,0.4848,0.1336,0.0862,0.0716,510050C2509M02850,2.8500,0.0777,0.0525
2025-07-16,0.055,0.0639,0.0523,0.056,18080003,50ETF购9月2900,4924,0.4004,3.7699,-0.1478,0.4823,0.138,0.0639,0.0523,510050C2509M02900,2.9000,0.0560,0.0287
2025-07-16,0.0425,0.0476,0.0385,0.0417,86092790,50ETF购9月2950,41716,0.2334,2.9868,-0.1079,0.3821,0.1468,0.0476,0.0385,510050C2509M02950,2.9500,0.0417,0.0137
2025-07-16,0.032,0.0357,0.0287,0.0311,90274747,50ETF购9月3000,59371,0.1161,1.9061,-0.0652,0.2439,0.155,0.0357,0.0287,510050C2509M03000,3.0000,0.0311,0.0057
2025-07-16,0.004,0.0042,0.0039,0.0041,2162653,50ETF沽9月2400,24272,-0,0,0,0,0.2321,0.0042,0.0039,510050P2509M02400,2.4000,0.0041,0
2025-07-16,0.0052,0.0056,0.0051,0.0056,2745315,50ETF沽9月2450,16634,-0,0.0002,0,0,0.223,0.0056,0.0051,510050P2509M02450,2.4500,0.0056,0
2025-07-16,0.006,0.0064,0.0059,0.0063,4865179,50ETF沽9月2500,20010,-0.0001,0.0021,-0.0001,0.0003,0.205,0.0064,0.0059,510050P2509M02500,2.5000,0.0063,0
2025-07-16,0.0081,0.0089,0.0081,0.0087,9668459,50ETF沽9月2550,21336,-0.0004,0.0155,-0.0004,0.002,0.1959,0.0089,0.0081,510050P2509M02550,2.5500,0.0087,0
2025-07-16,0.0106,0.0117,0.0106,0.0112,19815934,50ETF沽9月2600,28848,-0.0027,0.0808,-0.0019,0.0103,0.1831,0.0117,0.0106,510050P2509M02600,2.6000,0.0112,0.0001
2025-07-16,0.0158,0.0171,0.0154,0.0162,54278808,50ETF沽9月2650,36962,-0.0121,0.3067,-0.007,0.0392,0.1761,0.0171,0.0154,510050P2509M02650,2.6500,0.0162,0.0004
2025-07-16,0.0229,0.0249,0.0222,0.023,30785977,50ETF沽9月2700,30978,-0.0414,0.8647,-0.0189,0.1106,0.1687,0.0249,0.0222,510050P2509M02700,2.7000,0.0230,0.0017
2025-07-16,0.0361,0.037,0.0326,0.034,86358398,50ETF沽9月2750,44339,-0.1104,1.8393,-0.0376,0.2353,0.1651,0.0370,0.0326,510050P2509M02750,2.7500,0.0340,0.0056
2025-07-16,0.0536,0.0549,0.0484,0.0511,32515342,50ETF沽9月2800,10281,-0.2347,2.9959,-0.0547,0.3833,0.1666,0.0549,0.0484,510050P2509M02800,2.8000,0.0511,0.0143
2025-07-16,0.0749,0.079,0.0697,0.074,42263441,50ETF沽9月2850,9322,-0.4086,3.7891,-0.056,0.4848,0.1703,0.0790,0.0697,510050P2509M02850,2.8500,0.0740,0.0308
2025-07-16,0.108,0.1095,0.0971,0.1029,19529917,50ETF沽9月2900,3700,-0.5996,3.7699,-0.0327,0.4823,0.1765,0.1095,0.0971,510050P2509M02900,2.9000,0.1029,0.0565
2025-07-16,0.1429,0.1455,0.1305,0.1365,3293515,50ETF沽9月2950,681,-0.7666,2.9868,0.0092,0.3821,0.1837,0.1455,0.1305,510050P2509M02950,2.9500,0.1365,0.0912
2025-07-16,0.1805,0.1819,0.1698,0.1765,725963,50ETF沽9月3000,139,-0.8839,1.9061,0.0539,0.2439,0.1974,0.1819,0.1698,510050P2509M03000,3.0000,0.1765,0.1328
2025-07-16,0.6521,0.6521,0.6521,0.6521,18,沪深300ETF购9月3542A,3,0,NAN,0,0,0,0.6521,0.6521,159919C2509M003600A,3.5420,0.6521,0
2025-07-16,0.5599,0.5599,0.5599,0.5599,6,沪深300ETF购9月3641A,1,0,NAN,0,0,0,0.5599,0.5599,159919C2509M003700A,3.6410,0.5599,0
2025-07-16,0.4978,0.4978,0.4978,0.4978,30,沪深300ETF购9月3700,5,0,NAN,0,0,0,0.4978,0.4978,159919C2509M003700,3.7000,0.4978,0
2025-07-16,0.4609,0.463,0.4609,0.463,46,沪深300ETF购9月3739A,6,0,NAN,0,0,0,0.4630,0.4609,159919C2509M003800A,3.7390,0.4630,0
2025-07-16,0.4039,0.4039,0.4039,0.4039,30,沪深300ETF购9月3800,5,0,NAN,0,0,0,0.4039,0.4039,159919C2509M003800,3.8000,0.4039,0
2025-07-16,0.3701,0.3701,0.3701,0.3701,30,沪深300ETF购9月3837A,5,0,NAN,0,0,0,0.3701,0.3701,159919C2509M003900A,3.8370,0.3701,0
2025-07-16,0.3255,0.3255,0.3212,0.3212,674,沪深300ETF购9月3900,51,0,NAN,0,0,0,0.3255,0.3212,159919C2509M003900,3.9000,0.3212,0
2025-07-16,0.2145,0.2145,0.207,0.207,482,沪深300ETF购9月4034A,32,0,NAN,0,0,0,0.2145,0.2070,159919C2509M004100A,4.0340,0.2070,0
2025-07-16,0.1718,0.1823,0.1587,0.1589,1336,沪深300ETF购9月4100,60,0,NAN,0,0,0,0.1823,0.1587,159919C2509M004100,4.1000,0.1589,0
2025-07-16,0.1514,0.1521,0.142,0.1432,2820,沪深300ETF购9月4132A,131,0,NAN,0,0,0,0.1521,0.1420,159919C2509M004200A,4.1320,0.1432,0
2025-07-16,0.1154,0.1154,0.1048,0.1073,950,沪深300ETF购9月4200,52,0,NAN,0,0,0,0.1154,0.1048,159919C2509M004200,4.2000,0.1073,0
2025-07-16,0.1094,0.1094,0.0876,0.0941,594,沪深300ETF购9月4231A,41,0,NAN,0,0,0,0.1094,0.0876,159919C2509M004300A,4.2310,0.0941,0
2025-07-16,0.0786,0.083,0.0649,0.0704,3552,沪深300ETF购9月4300,101,0,NAN,0,0,0,0.0830,0.0649,159919C2509M004300,4.3000,0.0704,0
2025-07-16,0.0727,0.0727,0.0599,0.0606,710,沪深300ETF购9月4329A,42,0,NAN,0,0,0,0.0727,0.0599,159919C2509M004400A,4.3290,0.0606,0
2025-07-16,0.0519,0.055,0.0425,0.0444,55016,沪深300ETF购9月4400,567,0,NAN,0,0,0,0.0550,0.0425,159919C2509M004400,4.4000,0.0444,0
