代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009632,300ETF沽12月4600,,,,,,,4.6,154.0,,,,10,0.0,0.401,0.0,,沪深300ETF,4.199,23.37,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009631,300ETF购12月4600,,,,,,,4.6,154.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.199,23.37,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009630,300ETF沽9月4600,,,,,,,4.6,63.0,,,,10,0.0,0.401,0.0,,沪深300ETF,4.199,23.37,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009629,300ETF购9月4600,,,,,,,4.6,63.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.199,23.37,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009628,300ETF沽8月4600,,,,,,,4.6,35.0,,,,10,0.0,0.401,0.0,,沪深300ETF,4.199,23.37,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009627,300ETF购8月4600,,,,,,,4.6,35.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.199,23.37,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009626,300ETF沽7月4600,,,,,,,4.6,0.0,,,,10,0.0,0.401,0.0,,沪深300ETF,4.199,23.37,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009625,300ETF购7月4600,,,,,,,4.6,0.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.199,23.37,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009624,50ETF沽12月3200,,,,,,,3.2,154.0,,,,10,0.0,0.279,0.0,,上证50ETF,2.921,20.34,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009623,50ETF购12月3200,,,,,,,3.2,154.0,,,,10,0.0,0.0,0.0,,上证50ETF,2.921,20.34,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009622,50ETF沽9月3200,,,,,,,3.2,63.0,,,,10,0.0403,0.279,0.0,,上证50ETF,2.921,20.34,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009621,50ETF购9月3200,,,,,,,3.2,63.0,,,,10,0.0139,0.0,0.0,,上证50ETF,2.921,20.34,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
