代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009117,科创50沽5月1050,0.029,0.0041,16.47,33584.0,8347030.0,10566.0,1.05,0.0,-19442.0,0.0249,0.0235,10,0.002,0.027,48.44,0.0283,科创50ETF,1.023,42.12,2025-05-28,35.28,31.0,-0.8787,8.9327,0.0108,-0.0024,-0.8173
10009204,科创50沽6月750,0.0008,0.0001,14.29,3841.0,35721.0,29785.0,0.75,28.0,1257.0,0.0007,0.0009,10,0.0008,0.0,52.34,0.0001,科创50ETF,1.023,42.12,2025-06-25,1278.75,4.6,-0.0036,0.09,0.0032,-0.0002,-0.0082
10008901,500ETF购6月7000,0.0016,0.0002,14.29,432.0,6715.0,10123.0,7.0,28.0,217.0,0.0014,0.0018,10,0.0016,0.0,31.84,0.0004,中证500ETF,5.647,27.34,2025-06-25,3529.38,10.94,0.0031,0.0218,0.0151,0.0014,-0.0261
10008791,500ETF购6月6750,0.0025,0.0003,13.64,1810.0,43766.0,23666.0,6.75,28.0,56.0,0.0022,0.0023,10,0.0025,0.0,28.71,0.0017,中证500ETF,5.647,27.34,2025-06-25,2258.8,26.65,0.0118,0.0708,0.049,0.0052,-0.0851
10008775,500ETF购6月6500,0.0034,0.0004,13.33,2103.0,59919.0,12367.0,6.5,28.0,339.0,0.003,0.003,10,0.0034,0.0,24.61,0.0065,中证500ETF,5.647,27.34,2025-06-25,1660.88,63.28,0.0381,0.1902,0.1317,0.0166,-0.2293
10008365,50ETF购6月3136A,0.0018,0.0002,12.5,773.0,13535.91,14714.0,3.136,28.0,389.0,0.0016,0.0016,10,0.0018,0.0,23.63,0.0007,上证50ETF,2.747,20.44,2025-06-25,1526.11,18.62,0.0122,0.1998,0.0245,0.0026,-0.0318
10008388,50ETF沽6月2450A,0.0032,0.0003,10.34,582.0,16035.12,5976.0,2.45,28.0,457.0,0.0029,0.003,10,0.0032,0.0,24.02,0.0013,上证50ETF,2.747,20.44,2025-06-25,858.44,18.03,-0.021,0.3195,0.0392,-0.0046,-0.0495
10008682,50ETF沽6月2450,0.0032,0.0003,10.34,715.0,20191.0,10996.0,2.45,28.0,395.0,0.0029,0.003,10,0.0032,0.0,24.02,0.0013,上证50ETF,2.747,20.44,2025-06-25,858.44,18.03,-0.021,0.3195,0.0392,-0.0046,-0.0495
10009082,300ETF沽5月4000,0.0594,0.0054,10.0,73574.0,39946451.0,4882.0,4.0,0.0,-27751.0,0.054,0.05,10,0.0014,0.058,19.92,0.0605,沪深300ETF,3.942,22.95,2025-05-28,66.36,58.81,-0.8862,4.0668,0.0397,-0.0096,-1.6182
10009194,500ETF沽9月4700,0.0428,0.0038,9.74,13929.0,5844538.0,7395.0,4.7,119.0,156.0,0.039,0.0401,10,0.0428,0.0,26.9,0.0453,中证500ETF,5.647,27.34,2025-09-24,131.94,13.3,-0.1008,0.1995,0.5719,-0.2021,-0.2297
10008308,500ETF沽6月5165A,0.0191,0.0015,8.52,7262.0,1336612.11,12633.0,5.165,28.0,3471.0,0.0176,0.0176,10,0.0191,0.0,25.39,0.0247,中证500ETF,5.647,27.34,2025-06-25,295.65,33.44,-0.1131,0.4411,0.3055,-0.0527,-0.5169
10009192,500ETF沽6月4700,0.0051,0.0004,8.51,1030.0,44719.0,9787.0,4.7,28.0,196.0,0.0047,0.0049,10,0.0051,0.0,33.98,0.0011,中证500ETF,5.647,27.34,2025-06-25,1107.25,8.19,-0.0074,0.0474,0.0328,-0.0033,-0.0558
10008838,500ETF沽9月4800,0.0543,0.0042,8.38,8266.0,4412069.0,14376.0,4.8,119.0,1373.0,0.0501,0.0511,10,0.0543,0.0,26.49,0.0599,中证500ETF,5.647,27.34,2025-09-24,104.0,13.17,-0.1266,0.2347,0.6727,-0.2547,-0.2695
