日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-08-07,0.5212,0.5291,0.5109,0.5248,71356,50ETF购9月2400,52,1,0,-0.0955,0,0.0007,0.5291,0.5109,510050C2509M02400,2.4000,0.5248,0.5336
2025-08-07,0.476,0.476,0.4614,0.4747,11179,50ETF购9月2450,7,1,0,-0.0975,0,0.0007,0.4760,0.4614,510050C2509M02450,2.4500,0.4747,0.4839
2025-08-07,0.4307,0.4307,0.4141,0.4246,13081,50ETF购9月2500,7,1,0,-0.0995,0,0.0007,0.4307,0.4141,510050C2509M02500,2.5000,0.4246,0.4341
2025-08-07,0.3781,0.3834,0.3631,0.3766,170922,50ETF购9月2550,69,1,0.0005,-0.1015,0,0.0007,0.3834,0.3631,510050C2509M02550,2.5500,0.3766,0.3844
2025-08-07,0.3297,0.3322,0.315,0.3277,295309,50ETF购9月2600,147,0.9999,0.0047,-0.1036,0.0005,0.0007,0.3322,0.3150,510050C2509M02600,2.6000,0.3277,0.3346
2025-08-07,0.2825,0.2825,0.2686,0.277,335446,50ETF购9月2650,93,0.9991,0.0329,-0.1065,0.0034,0.0007,0.2825,0.2686,510050C2509M02650,2.6500,0.2770,0.2849
2025-08-07,0.2346,0.2399,0.219,0.2294,476843,50ETF购9月2700,202,0.9945,0.1616,-0.1126,0.0166,0.0007,0.2399,0.2190,510050C2509M02700,2.7000,0.2294,0.2353
2025-08-07,0.1862,0.1924,0.1731,0.185,1693479,50ETF购9月2750,562,0.9768,0.5658,-0.1269,0.0581,0.0007,0.1924,0.1731,510050C2509M02750,2.7500,0.1850,0.1863
2025-08-07,0.1428,0.1518,0.1325,0.1418,4724225,50ETF购9月2800,1015,0.9264,1.4393,-0.1542,0.1479,0.1081,0.1518,0.1325,510050C2509M02800,2.8000,0.1418,0.1389
2025-08-07,0.1045,0.113,0.096,0.1048,18916377,50ETF购9月2850,2483,0.8202,2.7036,-0.1887,0.2778,0.1216,0.1130,0.0960,510050C2509M02850,2.8500,0.1048,0.0956
2025-08-07,0.0725,0.0808,0.067,0.0725,51166214,50ETF购9月2900,6878,0.6526,3.8086,-0.2101,0.3913,0.1248,0.0808,0.0670,510050C2509M02900,2.9000,0.0725,0.0592
2025-08-07,0.0517,0.0565,0.0458,0.05,47944297,50ETF购9月2950,8674,0.4513,4.0825,-0.1974,0.4194,0.1334,0.0565,0.0458,510050C2509M02950,2.9500,0.0500,0.0324
2025-08-07,0.035,0.0385,0.0309,0.0332,26121689,50ETF购9月3000,6004,0.2648,3.3757,-0.1511,0.3468,0.1394,0.0385,0.0309,510050C2509M03000,3.0000,0.0332,0.0154
2025-08-07,0.0019,0.0019,0.0016,0.0018,3995,50ETF沽9月2400,168,-0,0,0,0,0.2685,0.0019,0.0016,510050P2509M02400,2.4000,0.0018,0
2025-08-07,0.0022,0.0023,0.002,0.0021,6074,50ETF沽9月2450,180,-0,0,0,0,0.2507,0.0023,0.0020,510050P2509M02450,2.4500,0.0021,0
2025-08-07,0.0024,0.0024,0.002,0.0023,4934,50ETF沽9月2500,32,-0,0,0,0,0.2298,0.0024,0.0020,510050P2509M02500,2.5000,0.0023,0
2025-08-07,0.0034,0.0034,0.0028,0.0032,85628,50ETF沽9月2550,816,-0,0.0005,0,0,0.2181,0.0034,0.0028,510050P2509M02550,2.5500,0.0032,0
2025-08-07,0.0033,0.0036,0.003,0.0036,74625,50ETF沽9月2600,698,-0.0001,0.0047,-0.0002,0.0005,0.1974,0.0036,0.0030,510050P2509M02600,2.6000,0.0036,0
2025-08-07,0.0049,0.0055,0.0045,0.0052,258825,50ETF沽9月2650,1078,-0.0009,0.0329,-0.0011,0.0034,0.1858,0.0055,0.0045,510050P2509M02650,2.6500,0.0052,0
2025-08-07,0.0068,0.0079,0.0063,0.0072,519809,50ETF沽9月2700,1795,-0.0055,0.1616,-0.0051,0.0166,0.1719,0.0079,0.0063,510050P2509M02700,2.7000,0.0072,0.0002
2025-08-07,0.0109,0.0126,0.0101,0.0112,2955072,50ETF沽9月2750,3993,-0.0232,0.5658,-0.0175,0.0581,0.1628,0.0126,0.0101,510050P2509M02750,2.7500,0.0112,0.0009
2025-08-07,0.0183,0.0212,0.0171,0.0189,11589911,50ETF沽9月2800,5823,-0.0736,1.4393,-0.0427,0.1479,0.1589,0.0212,0.0171,510050P2509M02800,2.8000,0.0189,0.0032
2025-08-07,0.0301,0.0351,0.0286,0.0316,27016146,50ETF沽9月2850,6076,-0.1798,2.7036,-0.0753,0.2778,0.1582,0.0351,0.0286,510050P2509M02850,2.8500,0.0316,0.0096
2025-08-07,0.0496,0.0559,0.0463,0.0494,33599531,50ETF沽9月2900,5911,-0.3474,3.8086,-0.0947,0.3913,0.157,0.0559,0.0463,510050P2509M02900,2.9000,0.0494,0.023
2025-08-07,0.0749,0.0842,0.0714,0.0757,27880968,50ETF沽9月2950,4477,-0.5487,4.0825,-0.0801,0.4194,0.1623,0.0842,0.0714,510050P2509M02950,2.9500,0.0757,0.0459
2025-08-07,0.109,0.1194,0.1042,0.1095,8761691,50ETF沽9月3000,1350,-0.7352,3.3757,-0.0317,0.3468,0.1723,0.1194,0.1042,510050P2509M03000,3.0000,0.1095,0.0786
2025-08-07,0.7614,0.7616,0.75,0.7616,350,沪深300ETF购9月3542A,25,0,NAN,0,0,0,0.7616,0.7500,159919C2509M003600A,3.5420,0.7616,0
2025-08-07,0.7027,0.7198,0.7027,0.716,80,沪深300ETF购9月3600,8,0,NAN,0,0,0,0.7198,0.7027,159919C2509M003600,3.6000,0.7160,0
2025-08-07,0.6159,0.6159,0.6159,0.6159,30,沪深300ETF购9月3700,5,0,NAN,0,0,0,0.6159,0.6159,159919C2509M003700,3.7000,0.6159,0
2025-08-07,0.5277,0.5277,0.5195,0.5195,312,沪深300ETF购9月3800,26,0,NAN,0,0,0,0.5277,0.5195,159919C2509M003800,3.8000,0.5195,0
2025-08-07,0.4698,0.4698,0.4698,0.4698,200,沪深300ETF购9月3837A,20,0,NAN,0,0,0,0.4698,0.4698,159919C2509M003900A,3.8370,0.4698,0
2025-08-07,0.4317,0.4381,0.4244,0.4266,1046,沪深300ETF购9月3900,49,0,NAN,0,0,0,0.4381,0.4244,159919C2509M003900,3.9000,0.4266,0
2025-08-07,0.3905,0.3905,0.3905,0.3905,30,沪深300ETF购9月3936A,3,0,NAN,0,0,0,0.3905,0.3905,159919C2509M004000A,3.9360,0.3905,0
2025-08-07,0.344,0.344,0.3141,0.3322,752,沪深300ETF购9月4000,48,0,NAN,0,0,0,0.3440,0.3141,159919C2509M004000,4.0000,0.3322,0
2025-08-07,0.2827,0.3023,0.2827,0.3023,274,沪深300ETF购9月4034A,21,0,NAN,0,0,0,0.3023,0.2827,159919C2509M004100A,4.0340,0.3023,0
2025-08-07,0.2556,0.2556,0.2261,0.2415,13578,沪深300ETF购9月4100,354,0,NAN,0,0,0,0.2556,0.2261,159919C2509M004100,4.1000,0.2415,0
2025-08-07,0.2259,0.2259,0.2022,0.2185,2802,沪深300ETF购9月4132A,131,0,NAN,0,0,0,0.2259,0.2022,159919C2509M004200A,4.1320,0.2185,0
2025-08-07,0.1683,0.1784,0.1482,0.1633,35680,沪深300ETF购9月4200,514,0,NAN,0,0,0,0.1784,0.1482,159919C2509M004200,4.2000,0.1633,0
2025-08-07,0.1468,0.1476,0.1344,0.1379,2162,沪深300ETF购9月4231A,105,0,NAN,0,0,0,0.1476,0.1344,159919C2509M004300A,4.2310,0.1379,0
2025-08-07,0.1084,0.1155,0.0924,0.1019,491222,沪深300ETF购9月4300,1784,0,NAN,0,0,0,0.1155,0.0924,159919C2509M004300,4.3000,0.1019,0
2025-08-07,0.0931,0.0982,0.0794,0.0895,7450,沪深300ETF购9月4329A,181,0,NAN,0,0,0,0.0982,0.0794,159919C2509M004400A,4.3290,0.0895,0
2025-08-07,0.0653,0.07,0.0556,0.0612,389504,沪深300ETF购9月4400,1470,0,NAN,0,0,0,0.0700,0.0556,159919C2509M004400,4.4000,0.0612,0
2025-08-07,0.0568,0.0609,0.0482,0.0527,32496,沪深300ETF购9月4428A,486,0,NAN,0,0,0,0.0609,0.0482,159919C2509M004500A,4.4280,0.0527,0
2025-08-07,0.0344,0.0378,0.0294,0.0312,131078,沪深300ETF购9月4526A,1206,0,NAN,0,0,0,0.0378,0.0294,159919C2509M004600A,4.5260,0.0312,0
2025-08-07,0.0016,0.0018,0.0016,0.0017,43180,沪深300ETF沽9月3542A,895,-1,NAN,0.1409,0,0,0.0018,0.0016,159919P2509M003600A,3.5420,0.0017,3.5234
2025-08-07,0.0024,0.0026,0.0023,0.0024,7158,沪深300ETF沽9月3600,232,-1,NAN,0.1432,0,0,0.0026,0.0023,159919P2509M003600,3.6000,0.0024,3.5811
2025-08-07,0.0024,0.0026,0.0024,0.0026,1120,沪深300ETF沽9月3641A,90,-1,NAN,0.1449,0,0,0.0026,0.0024,159919P2509M003700A,3.6410,0.0026,3.6219
2025-08-07,0.0031,0.0035,0.0029,0.0029,4224,沪深300ETF沽9月3700,149,-1,NAN,0.1472,0,0,0.0035,0.0029,159919P2509M003700,3.7000,0.0029,3.6806
2025-08-07,0.0033,0.0037,0.0033,0.0034,1280,沪深300ETF沽9月3739A,120,-1,NAN,0.1488,0,0,0.0037,0.0033,159919P2509M003800A,3.7390,0.0034,3.7194
2025-08-07,0.0045,0.0051,0.0045,0.0047,768,沪深300ETF沽9月3800,64,-1,NAN,0.1512,0,0,0.0051,0.0045,159919P2509M003800,3.8000,0.0047,3.7801
2025-08-07,0.005,0.0059,0.0047,0.0055,6926,沪深300ETF沽9月3837A,303,-1,NAN,0.1527,0,0,0.0059,0.0047,159919P2509M003900A,3.8370,0.0055,3.8169
2025-08-07,0.0072,0.0085,0.007,0.0077,42114,沪深300ETF沽9月3900,540,-1,NAN,0.1552,0,0,0.0085,0.0070,159919P2509M003900,3.9000,0.0077,3.8795
2025-08-07,0.0087,0.0101,0.0086,0.0092,654,沪深300ETF沽9月3936A,69,-1,NAN,0.1566,0,0,0.0101,0.0086,159919P2509M004000A,3.9360,0.0092,3.9153
2025-08-07,0.0128,0.0153,0.0124,0.0134,143762,沪深300ETF沽9月4000,1100,-1,NAN,0.1592,0,0,0.0153,0.0124,159919P2509M004000,4.0000,0.0134,3.979
2025-08-07,0.0161,0.0189,0.0151,0.0165,60314,沪深300ETF沽9月4034A,426,-1,NAN,0.1605,0,0,0.0189,0.0151,159919P2509M004100A,4.0340,0.0165,4.0128
2025-08-07,0.0218,0.0289,0.0218,0.0251,103044,沪深300ETF沽9月4100,1077,-1,NAN,0.1631,0,0,0.0289,0.0218,159919P2509M004100,4.1000,0.0251,4.0785
2025-08-07,0.0285,0.0354,0.0285,0.0301,1716,沪深300ETF沽9月4132A,47,-1,NAN,0.1644,0,0,0.0354,0.0285,159919P2509M004200A,4.1320,0.0301,4.1103
