日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-08-21,0.5874,0.6018,0.5874,0.5909,154423,50ETF购9月2400,106,1,0,-0.0956,0,0.001,0.6018,0.5874,510050C2509M02400,2.4000,0.5909,0.5989
2025-08-21,0.5385,0.5498,0.5373,0.544,63796,50ETF购9月2450,30,1,0,-0.0976,0,0.001,0.5498,0.5373,510050C2509M02450,2.4500,0.5440,0.5491
2025-08-21,0.498,0.503,0.4859,0.4913,237232,50ETF购9月2500,85,1,0,-0.0996,0,0.001,0.5030,0.4859,510050C2509M02500,2.5000,0.4913,0.4993
2025-08-21,0.4358,0.4523,0.4351,0.4416,207632,50ETF购9月2550,83,1,0,-0.1016,0,0.001,0.4523,0.4351,510050C2509M02550,2.5500,0.4416,0.4495
2025-08-21,0.3892,0.4035,0.3845,0.3921,259908,50ETF购9月2600,132,1,0,-0.1036,0,0.001,0.4035,0.3845,510050C2509M02600,2.6000,0.3921,0.3997
2025-08-21,0.335,0.3551,0.335,0.3407,909275,50ETF购9月2650,266,1,0.0001,-0.1056,0,0.001,0.3551,0.3350,510050C2509M02650,2.6500,0.3407,0.3499
2025-08-21,0.2858,0.3065,0.2858,0.298,1875755,50ETF购9月2700,553,1,0.0017,-0.1077,0.0001,0.001,0.3065,0.2858,510050C2509M02700,2.7000,0.2980,0.3
2025-08-21,0.2408,0.2585,0.2385,0.2498,2552577,50ETF购9月2750,816,0.9995,0.0211,-0.1102,0.0015,0.001,0.2585,0.2385,510050C2509M02750,2.7500,0.2498,0.2502
2025-08-21,0.1937,0.213,0.1937,0.2017,15040649,50ETF购9月2800,2959,0.9957,0.1585,-0.1164,0.0115,0.1217,0.2130,0.1937,510050C2509M02800,2.8000,0.2017,0.2005
2025-08-21,0.1518,0.1704,0.1518,0.1606,26519298,50ETF购9月2850,3812,0.9751,0.7339,-0.1353,0.0531,0.1571,0.1704,0.1518,510050C2509M02850,2.8500,0.1606,0.1514
2025-08-21,0.1186,0.1326,0.1145,0.1218,142410219,50ETF购9月2900,15348,0.9043,2.1436,-0.1763,0.1551,0.1621,0.1326,0.1145,510050C2509M02900,2.9000,0.1218,0.1044
2025-08-21,0.087,0.1004,0.0835,0.091,332014475,50ETF购9月2950,32973,0.7459,4.0424,-0.2231,0.2925,0.1724,0.1004,0.0835,510050C2509M02950,2.9500,0.0910,0.0632
2025-08-21,0.0656,0.075,0.0597,0.066,546400334,50ETF购9月3000,57279,0.5111,5.0297,-0.2296,0.3639,0.1798,0.0750,0.0597,510050C2509M03000,3.0000,0.0660,0.0322
2025-08-21,0.001,0.0012,0.0006,0.001,37108,50ETF沽9月2400,823,0,0,0,0,0.3206,0.0012,0.0006,510050P2509M02400,2.4000,0.0010,0
2025-08-21,0.0009,0.001,0.0006,0.0009,17193,50ETF沽9月2450,435,-0,0,0,0,0.2902,0.0010,0.0006,510050P2509M02450,2.4500,0.0009,0
2025-08-21,0.0011,0.0014,0.001,0.0014,3426,50ETF沽9月2500,212,-0,0,0,0,0.2812,0.0014,0.0010,510050P2509M02500,2.5000,0.0014,0
2025-08-21,0.0018,0.002,0.0015,0.0019,74442,50ETF沽9月2550,1211,-0,0,0,0,0.267,0.0020,0.0015,510050P2509M02550,2.5500,0.0019,0
2025-08-21,0.0018,0.002,0.0016,0.002,51258,50ETF沽9月2600,642,-0,0,0,0,0.2415,0.0020,0.0016,510050P2509M02600,2.6000,0.0020,0
2025-08-21,0.0029,0.0031,0.0027,0.0031,189145,50ETF沽9月2650,1114,-0,0.0001,0,0,0.2312,0.0031,0.0027,510050P2509M02650,2.6500,0.0031,0
2025-08-21,0.0037,0.004,0.003,0.0037,2529592,50ETF沽9月2700,6011,-0,0.0017,-0.0001,0.0001,0.2094,0.0040,0.0030,510050P2509M02700,2.7000,0.0037,0
2025-08-21,0.0058,0.0061,0.0053,0.0054,2657520,50ETF沽9月2750,4572,-0.0005,0.0211,-0.0007,0.0015,0.1954,0.0061,0.0053,510050P2509M02750,2.7500,0.0054,0
2025-08-21,0.01,0.0107,0.009,0.0093,13680981,50ETF沽9月2800,13850,-0.0043,0.1585,-0.0048,0.0115,0.1891,0.0107,0.0090,510050P2509M02800,2.8000,0.0093,0.0001
2025-08-21,0.019,0.019,0.0157,0.016,28848782,50ETF沽9月2850,12803,-0.0249,0.7339,-0.0218,0.0531,0.1847,0.0190,0.0157,510050P2509M02850,2.8500,0.0160,0.0008
2025-08-21,0.0326,0.0329,0.0273,0.028,85677481,50ETF沽9月2900,18428,-0.0957,2.1436,-0.0607,0.1551,0.1861,0.0329,0.0273,510050P2509M02900,2.9000,0.0280,0.0036
2025-08-21,0.0526,0.0534,0.0447,0.0448,226261459,50ETF沽9月2950,28660,-0.2541,4.0424,-0.1055,0.2925,0.1863,0.0534,0.0447,510050P2509M02950,2.9500,0.0448,0.0122
2025-08-21,0.08,0.0811,0.0688,0.0722,191312557,50ETF沽9月3000,23650,-0.4889,5.0297,-0.11,0.3639,0.2,0.0811,0.0688,510050P2509M03000,3.0000,0.0722,0.031
2025-08-21,0.9251,0.9251,0.9251,0.9251,30,沪深300ETF购9月3600,5,0,NAN,0,0,0,0.9251,0.9251,159919C2509M003600,3.6000,0.9251,0
2025-08-21,0.7814,0.7814,0.7626,0.7626,30,沪深300ETF购9月3739A,3,0,NAN,0,0,0,0.7814,0.7626,159919C2509M003800A,3.7390,0.7626,0
2025-08-21,0.7089,0.7269,0.7089,0.7129,662,沪深300ETF购9月3800,33,0,NAN,0,0,0,0.7269,0.7089,159919C2509M003800,3.8000,0.7129,0
2025-08-21,0.6223,0.634,0.6031,0.6143,124,沪深300ETF购9月3900,11,0,NAN,0,0,0,0.6340,0.6031,159919C2509M003900,3.9000,0.6143,0
2025-08-21,0.5766,0.5766,0.5766,0.5766,6,沪深300ETF购9月3936A,1,0,NAN,0,0,0,0.5766,0.5766,159919C2509M004000A,3.9360,0.5766,0
2025-08-21,0.5234,0.5304,0.518,0.526,528,沪深300ETF购9月4000,27,0,NAN,0,0,0,0.5304,0.5180,159919C2509M004000,4.0000,0.5260,0
2025-08-21,0.487,0.487,0.487,0.487,18,沪深300ETF购9月4034A,3,0,NAN,0,0,0,0.4870,0.4870,159919C2509M004100A,4.0340,0.4870,0
2025-08-21,0.425,0.4393,0.2771,0.4122,1230,沪深300ETF购9月4100,75,0,NAN,0,0,0,0.4393,0.2771,159919C2509M004100,4.1000,0.4122,0
2025-08-21,0.3813,0.4035,0.3762,0.3762,74,沪深300ETF购9月4132A,7,0,NAN,0,0,0,0.4035,0.3762,159919C2509M004200A,4.1320,0.3762,0
2025-08-21,0.343,0.3464,0.3128,0.321,1636,沪深300ETF购9月4200,76,0,NAN,0,0,0,0.3464,0.3128,159919C2509M004200,4.2000,0.3210,0
2025-08-21,0.3078,0.3078,0.3078,0.3078,6,沪深300ETF购9月4231A,1,0,NAN,0,0,0,0.3078,0.3078,159919C2509M004300A,4.2310,0.3078,0
2025-08-21,0.2169,0.2371,0.2098,0.2098,2798,沪深300ETF购9月4329A,77,0,NAN,0,0,0,0.2371,0.2098,159919C2509M004400A,4.3290,0.2098,0
2025-08-21,0.1676,0.1865,0.1557,0.1688,1133612,沪深300ETF购9月4400,2097,0,NAN,0,0,0,0.1865,0.1557,159919C2509M004400,4.4000,0.1688,0
2025-08-21,0.1514,0.1666,0.1448,0.1448,26184,沪深300ETF购9月4428A,346,0,NAN,0,0,0,0.1666,0.1448,159919C2509M004500A,4.4280,0.1448,0
2025-08-21,0.1033,0.1162,0.0916,0.0916,395796,沪深300ETF购9月4526A,1514,0,NAN,0,0,0,0.1162,0.0916,159919C2509M004600A,4.5260,0.0916,0
2025-08-21,0.0011,0.0011,0.0008,0.0009,1190,沪深300ETF沽9月3542A,114,-1,NAN,0.1412,0,0,0.0011,0.0008,159919P2509M003600A,3.5420,0.0009,3.5288
2025-08-21,0.0014,0.0014,0.001,0.0012,736,沪深300ETF沽9月3641A,61,-1,NAN,0.1451,0,0,0.0014,0.0010,159919P2509M003700A,3.6410,0.0012,3.6275
2025-08-21,0.0016,0.0016,0.0013,0.0014,1388,沪深300ETF沽9月3700,98,-1,NAN,0.1474,0,0,0.0016,0.0013,159919P2509M003700,3.7000,0.0014,3.6862
2025-08-21,0.0019,0.0019,0.0012,0.0016,1380,沪深300ETF沽9月3739A,116,-1,NAN,0.149,0,0,0.0019,0.0012,159919P2509M003800A,3.7390,0.0016,3.7251
2025-08-21,0.0022,0.0022,0.0015,0.0016,3330,沪深300ETF沽9月3800,270,-1,NAN,0.1514,0,0,0.0022,0.0015,159919P2509M003800,3.8000,0.0016,3.7859
2025-08-21,0.0025,0.0025,0.0017,0.0017,4798,沪深300ETF沽9月3837A,224,-1,NAN,0.1529,0,0,0.0025,0.0017,159919P2509M003900A,3.8370,0.0017,3.8227
2025-08-21,0.0027,0.0032,0.0024,0.0024,52608,沪深300ETF沽9月3900,669,-1,NAN,0.1554,0,0,0.0032,0.0024,159919P2509M003900,3.9000,0.0024,3.8855
2025-08-21,0.0037,0.0037,0.0026,0.0028,1098,沪深300ETF沽9月3936A,64,-1,NAN,0.1569,0,0,0.0037,0.0026,159919P2509M004000A,3.9360,0.0028,3.9214
2025-08-21,0.0043,0.0049,0.0039,0.0041,51954,沪深300ETF沽9月4000,642,-1,NAN,0.1594,0,0,0.0049,0.0039,159919P2509M004000,4.0000,0.0041,3.9851
2025-08-21,0.0055,0.006,0.0045,0.0046,1608,沪深300ETF沽9月4034A,100,-1,NAN,0.1608,0,0,0.0060,0.0045,159919P2509M004100A,4.0340,0.0046,4.019
2025-08-21,0.01,0.0101,0.0085,0.009,7594,沪深300ETF沽9月4132A,124,-1,NAN,0.1647,0,0,0.0101,0.0085,159919P2509M004200A,4.1320,0.0090,4.1166
2025-08-21,0.0154,0.0155,0.0132,0.0136,84776,沪深300ETF沽9月4200,686,-1,NAN,0.1674,0,0,0.0155,0.0132,159919P2509M004200,4.2000,0.0136,4.1844
2025-08-21,0.0313,0.0315,0.0265,0.0277,597044,沪深300ETF沽9月4300,2152,-1,NAN,0.1714,0,0,0.0315,0.0265,159919P2509M004300,4.3000,0.0277,4.284
2025-08-21,0.0379,0.0379,0.0326,0.0354,20304,沪深300ETF沽9月4329A,244,-1,NAN,0.1725,0,0,0.0379,0.0326,159919P2509M004400A,4.3290,0.0354,4.3129
2025-08-21,0.0598,0.061,0.0515,0.0563,357206,沪深300ETF沽9月4400,1535,-1,NAN,0.1753,0,0,0.0610,0.0515,159919P2509M004400,4.4000,0.0563,4.3836
2025-08-21,0.0708,0.0708,0.0626,0.0638,11122,沪深300ETF沽9月4428A,170,-1,NAN,0.1765,0,0,0.0708,0.0626,159919P2509M004500A,4.4280,0.0638,4.4115
2025-08-21,0.1209,0.1209,0.1106,0.1176,23916,沪深300ETF沽9月4526A,303,-1,NAN,0.1804,0,0,0.1209,0.1106,159919P2509M004600A,4.5260,0.1176,4.5092
2025-08-21,0.9503,0.9684,0.9412,0.9412,248153,300ETF购9月3423A,132,1,0,-0.1364,0,0.0008,0.9684,0.9412,510300C2509A03500,3.4230,0.9412,0.9677
2025-08-21,0.8667,0.8667,0.8637,0.8637,16491,300ETF购9月3520A,11,1,0,-0.1403,0,0.0008,0.8667,0.8637,510300C2509A03600,3.5200,0.8637,0.8711
2025-08-21,0.765,0.765,0.7552,0.7583,17584,300ETF购9月3618A,5,1,0,-0.1442,0,0.0008,0.7650,0.7552,510300C2509A03700,3.6180,0.7583,0.7735
2025-08-21,0.6671,0.6672,0.6545,0.655,71285,300ETF购9月3716A,34,1,0,-0.1481,0,0.0008,0.6672,0.6545,510300C2509A03800,3.7160,0.6550,0.6758
2025-08-21,0.569,0.5812,0.5595,0.5595,291467,300ETF购9月3814A,49,1,0.0001,-0.152,0,0.0008,0.5812,0.5595,510300C2509A03900,3.8140,0.5595,0.5782
2025-08-21,0.461,0.4868,0.4557,0.468,773923,300ETF购9月3912A,157,0.9999,0.0032,-0.1562,0.0006,0.0008,0.4868,0.4557,510300C2509A04000,3.9120,0.4680,0.4806
2025-08-21,0.3817,0.392,0.362,0.3778,1730961,300ETF购9月4009A,321,0.9982,0.0414,-0.1637,0.0077,0.0008,0.3920,0.3620,510300C2509A04100,4.0090,0.3778,0.384
2025-08-21,0.28,0.305,0.2725,0.2875,10430064,300ETF购9月4107A,1022,0.9842,0.2851,-0.1903,0.0528,0.1109,0.3050,0.2725,510300C2509A04200,4.1070,0.2875,0.2871
2025-08-21,0.2134,0.2238,0.1922,0.2076,16447668,300ETF购9月4205A,1798,0.9201,1.0705,-0.264,0.1984,0.1543,0.2238,0.1922,510300C2509A04300,4.2050,0.2076,0.1937
2025-08-21,0.1398,0.1564,0.1279,0.141,60012839,300ETF购9月4303A,5645,0.7514,2.2841,-0.363,0.4234,0.1671,0.1564,0.1279,510300C2509A04400,4.3030,0.1410,0.1119
2025-08-21,0.0963,0.1062,0.082,0.0917,130501696,300ETF购9月4401A,10563,0.4873,2.8744,-0.3802,0.5328,0.1781,0.1062,0.0820,510300C2509A04500,4.4010,0.0917,0.0521
2025-08-21,0.0007,0.0009,0.0006,0.0006,72009,300ETF沽9月3423A,347,-0,0,0,0,0.3187,0.0009,0.0006,510300P2509A03500,3.4230,0.0006,-0
2025-08-21,0.0012,0.0013,0.001,0.0011,3335,300ETF沽9月3520A,99,-0,0,0,0,0.307,0.0013,0.0010,510300P2509A03600,3.5200,0.0011,0
2025-08-21,0.0015,0.0015,0.0012,0.0013,2158,300ETF沽9月3618A,55,-0,0,0,0,0.2787,0.0015,0.0012,510300P2509A03700,3.6180,0.0013,0
2025-08-21,0.0019,0.0019,0.0016,0.0016,15901,300ETF沽9月3716A,327,-0,0,0,0,0.252,0.0019,0.0016,510300P2509A03800,3.7160,0.0016,0
2025-08-21,0.003,0.003,0.0026,0.0028,42958,300ETF沽9月3814A,323,-0,0.0001,0,0,0.237,0.0030,0.0026,510300P2509A03900,3.8140,0.0028,0
2025-08-21,0.005,0.0139,0.0042,0.0046,119442,300ETF沽9月3912A,753,-0.0001,0.0032,-0.0003,0.0006,0.2191,0.0139,0.0042,510300P2509A04000,3.9120,0.0046,0
2025-08-21,0.009,0.0096,0.0076,0.0084,1410433,300ETF沽9月4009A,2030,-0.0018,0.0414,-0.004,0.0077,0.2058,0.0096,0.0076,510300P2509A04100,4.0090,0.0084,0.0001
2025-08-21,0.0188,0.0189,0.0159,0.0166,6389296,300ETF沽9月4107A,2666,-0.0158,0.2851,-0.0267,0.0528,0.197,0.0189,0.0159,510300P2509A04200,4.1070,0.0166,0.0008
2025-08-21,0.0357,0.0385,0.0319,0.0338,37471441,300ETF沽9月4205A,5233,-0.0799,1.0705,-0.0964,0.1984,0.1945,0.0385,0.0319,510300P2509A04300,4.2050,0.0338,0.0051
2025-08-21,0.0702,0.0733,0.061,0.0649,44124729,300ETF沽9月4303A,4392,-0.2486,2.2841,-0.1916,0.4234,0.1974,0.0733,0.0610,510300P2509A04400,4.3030,0.0649,0.0209
2025-08-21,0.1239,0.1248,0.1073,0.1141,19473180,300ETF沽9月4401A,1779,-0.5127,2.8744,-0.2048,0.5328,0.2076,0.1248,0.1073,510300P2509A04500,4.4010,0.1141,0.0588
2025-08-21,0.6101,0.6251,0.6101,0.6251,410,深证100ETF购9月2500,31,0,NAN,0,0,0,0.6251,0.6101,159901C2509M002500,2.5000,0.6251,0
2025-08-21,0.5086,0.5086,0.5086,0.5086,12,深证100ETF购9月2600,1,0,NAN,0,0,0,0.5086,0.5086,159901C2509M002600,2.6000,0.5086,0
2025-08-21,0.4118,0.4398,0.4118,0.4393,268,深证100ETF购9月2700,21,0,NAN,0,0,0,0.4398,0.4118,159901C2509M002700,2.7000,0.4393,0
2025-08-21,0.3653,0.378,0.3626,0.3664,302,深证100ETF购9月2750,24,0,NAN,0,0,0,0.3780,0.3626,159901C2509M002750,2.7500,0.3664,0
2025-08-21,0.2752,0.295,0.2681,0.2749,3232,深证100ETF购9月2850,104,0,NAN,0,0,0,0.2950,0.2681,159901C2509M002850,2.8500,0.2749,0
2025-08-21,0.2328,0.2551,0.2257,0.2283,9488,深证100ETF购9月2900,155,0,NAN,0,0,0,0.2551,0.2257,159901C2509M002900,2.9000,0.2283,0
2025-08-21,0.1924,0.2118,0.1804,0.1876,22762,深证100ETF购9月2950,388,0,NAN,0,0,0,0.2118,0.1804,159901C2509M002950,2.9500,0.1876,0
2025-08-21,0.1545,0.1784,0.1452,0.1537,309292,深证100ETF购9月3000,1140,0,NAN,0,0,0,0.1784,0.1452,159901C2509M003000,3.0000,0.1537,0
2025-08-21,0.0017,0.0017,0.0011,0.0011,772,深证100ETF沽9月2500,56,-1,NAN,0.0996,0,0,0.0017,0.0011,159901P2509M002500,2.5000,0.0011,2.4907
2025-08-21,0.002,0.002,0.0014,0.0014,710,深证100ETF沽9月2550,55,-1,NAN,0.1016,0,0,0.0020,0.0014,159901P2509M002550,2.5500,0.0014,2.5405
2025-08-21,0.0022,0.0022,0.0018,0.0019,2866,深证100ETF沽9月2600,212,-1,NAN,0.1036,0,0,0.0022,0.0018,159901P2509M002600,2.6000,0.0019,2.5903
2025-08-21,0.0028,0.0028,0.0023,0.0025,1730,深证100ETF沽9月2650,81,-1,NAN,0.1056,0,0,0.0028,0.0023,159901P2509M002650,2.6500,0.0025,2.6401
2025-08-21,0.0054,0.0054,0.0045,0.0045,1010,深证100ETF沽9月2750,94,-1,NAN,0.1096,0,0,0.0054,0.0045,159901P2509M002750,2.7500,0.0045,2.7398
2025-08-21,0.0077,0.0077,0.0062,0.0062,12266,深证100ETF沽9月2800,219,-1,NAN,0.1116,0,0,0.0077,0.0062,159901P2509M002800,2.8000,0.0062,2.7896
2025-08-21,0.0113,0.0113,0.0094,0.0094,9722,深证100ETF沽9月2850,291,-1,NAN,0.1136,0,0,0.0113,0.0094,159901P2509M002850,2.8500,0.0094,2.8394
2025-08-21,0.0174,0.0174,0.0145,0.0148,93344,深证100ETF沽9月2900,778,-1,NAN,0.1156,0,0,0.0174,0.0145,159901P2509M002900,2.9000,0.0148,2.8892
2025-08-21,0.0265,0.0266,0.0219,0.0227,84054,深证100ETF沽9月2950,685,-1,NAN,0.1176,0,0,0.0266,0.0219,159901P2509M002950,2.9500,0.0227,2.939
