日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-08-22,0.6086,0.6729,0.6086,0.6729,140883,50ETF购9月2400,88,1,0,-0.0957,0,0.001,0.6729,0.6086,510050C2509M02400,2.4000,0.6729,0.6747
2025-08-22,0.5749,0.6223,0.5749,0.6223,35476,50ETF购9月2450,29,1,0,-0.0976,0,0.001,0.6223,0.5749,510050C2509M02450,2.4500,0.6223,0.6248
2025-08-22,0.5028,0.5706,0.5028,0.5706,640241,50ETF购9月2500,185,1,0,-0.0996,0,0.001,0.5706,0.5028,510050C2509M02500,2.5000,0.5706,0.575
2025-08-22,0.4677,0.52,0.4616,0.52,491454,50ETF购9月2550,238,1,0,-0.1016,0,0.001,0.5200,0.4616,510050C2509M02550,2.5500,0.5200,0.5252
2025-08-22,0.4089,0.4728,0.4061,0.4728,653905,50ETF购9月2600,754,1,0,-0.1036,0,0.001,0.4728,0.4061,510050C2509M02600,2.6000,0.4728,0.4754
2025-08-22,0.36,0.424,0.3597,0.421,3516694,50ETF购9月2650,1255,1,0,-0.1056,0,0.001,0.4240,0.3597,510050C2509M02650,2.6500,0.4210,0.4256
2025-08-22,0.3033,0.375,0.3033,0.375,1298013,50ETF购9月2700,882,1,0,-0.1076,0,0.001,0.3750,0.3033,510050C2509M02700,2.7000,0.3750,0.3757
2025-08-22,0.26,0.327,0.259,0.3248,5998783,50ETF购9月2750,2130,1,0.0005,-0.1096,0,0.001,0.3270,0.2590,510050C2509M02750,2.7500,0.3248,0.3259
2025-08-22,0.2078,0.2788,0.2078,0.2775,18570660,50ETF购9月2800,4230,0.9999,0.0071,-0.1118,0.0005,0.1613,0.2788,0.2078,510050C2509M02800,2.8000,0.2775,0.2761
2025-08-22,0.1628,0.2313,0.1628,0.2289,27487270,50ETF购9月2850,3524,0.9984,0.0656,-0.1157,0.0049,0.1521,0.2313,0.1628,510050C2509M02850,2.8500,0.2289,0.2263
2025-08-22,0.122,0.1879,0.122,0.1878,148456092,50ETF购9月2900,16044,0.9886,0.3716,-0.1274,0.0275,0.1809,0.1879,0.1220,510050C2509M02900,2.9000,0.1878,0.1768
2025-08-22,0.088,0.1479,0.088,0.1463,352182366,50ETF购9月2950,36479,0.9479,1.3284,-0.1584,0.0983,0.1778,0.1479,0.0880,510050C2509M02950,2.9500,0.1463,0.1284
2025-08-22,0.066,0.1135,0.0654,0.1122,962578273,50ETF购9月3000,99361,0.8371,3.0674,-0.2086,0.227,0.1842,0.1135,0.0654,510050C2509M03000,3.0000,0.1122,0.0838
2025-08-22,0.001,0.0012,0.0009,0.0011,17373,50ETF沽9月2400,651,0,0,0,0,0.3607,0.0012,0.0009,510050P2509M02400,2.4000,0.0011,0
2025-08-22,0.001,0.001,0.0007,0.0009,22343,50ETF沽9月2450,550,0,0,0,0,0.3259,0.0010,0.0007,510050P2509M02450,2.4500,0.0009,0
2025-08-22,0.0013,0.0015,0.0012,0.0014,8934,50ETF沽9月2500,281,-0,0,0,0,0.3183,0.0015,0.0012,510050P2509M02500,2.5000,0.0014,-0
2025-08-22,0.0018,0.0019,0.0017,0.0019,25837,50ETF沽9月2550,375,-0,0,0,0,0.305,0.0019,0.0017,510050P2509M02550,2.5500,0.0019,0
2025-08-22,0.0018,0.0021,0.0017,0.0019,46656,50ETF沽9月2600,1198,-0,0,0,0,0.2778,0.0021,0.0017,510050P2509M02600,2.6000,0.0019,0
2025-08-22,0.0029,0.0032,0.0025,0.0026,93533,50ETF沽9月2650,907,-0,0,0,0,0.2638,0.0032,0.0025,510050P2509M02650,2.6500,0.0026,0
2025-08-22,0.0036,0.0037,0.0028,0.0033,2337661,50ETF沽9月2700,7992,-0,0,0,0,0.2461,0.0037,0.0028,510050P2509M02700,2.7000,0.0033,0
2025-08-22,0.0054,0.0054,0.0037,0.004,3608403,50ETF沽9月2750,7696,-0,0.0005,0,0,0.2256,0.0054,0.0037,510050P2509M02750,2.7500,0.0040,0
2025-08-22,0.009,0.0091,0.0057,0.0058,14657991,50ETF沽9月2800,16867,-0.0001,0.0071,-0.0002,0.0005,0.2128,0.0091,0.0057,510050P2509M02800,2.8000,0.0058,0
2025-08-22,0.0162,0.0163,0.0088,0.0092,33210314,50ETF沽9月2850,22537,-0.0016,0.0656,-0.0021,0.0049,0.2043,0.0163,0.0088,510050P2509M02850,2.8500,0.0092,0
2025-08-22,0.027,0.027,0.0144,0.0146,98408876,50ETF沽9月2900,31641,-0.0114,0.3716,-0.0118,0.0275,0.1967,0.0270,0.0144,510050P2509M02900,2.9000,0.0146,0.0003
2025-08-22,0.0448,0.0448,0.0241,0.0241,237812796,50ETF沽9月2950,48219,-0.0521,1.3284,-0.0409,0.0983,0.1942,0.0448,0.0241,510050P2509M02950,2.9500,0.0241,0.0018
2025-08-22,0.072,0.0725,0.039,0.039,435262985,50ETF沽9月3000,64543,-0.1629,3.0674,-0.089,0.227,0.1952,0.0725,0.0390,510050P2509M03000,3.0000,0.0390,0.007
2025-08-22,0.961,1.0005,0.961,1.0005,374,沪深300ETF购9月3600,25,0,NAN,0,0,0,1.0005,0.9610,159919C2509M003600,3.6000,1.0005,0
2025-08-22,0.8336,0.8515,0.8314,0.8515,100,沪深300ETF购9月3739A,10,0,NAN,0,0,0,0.8515,0.8314,159919C2509M003800A,3.7390,0.8515,0
2025-08-22,0.7408,0.8069,0.7388,0.8069,408,沪深300ETF购9月3800,25,0,NAN,0,0,0,0.8069,0.7388,159919C2509M003800,3.8000,0.8069,0
