日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-07-25,0.4701,0.4739,0.4701,0.4739,2264,50ETF购9月2450,2,1,0,-0.0973,0,0.0009,0.4739,0.4701,510050C2509M02450,2.4500,0.4739,0.4823
2025-07-25,0.131,0.131,0.1134,0.1196,8442312,50ETF购9月2850,1891,0.8092,2.7056,-0.1724,0.3243,0.1471,0.1310,0.1134,510050C2509M02850,2.8500,0.1196,0.0957
2025-07-25,0.0032,0.0034,0.0032,0.0033,13067,50ETF沽9月2450,153,-0,0,0,0,0.2393,0.0034,0.0032,510050P2509M02450,2.4500,0.0033,0
2025-07-25,0.1009,0.103,0.0939,0.0995,61604,沪深300ETF购9月4400,605,0,NAN,0,0,0,0.1030,0.0939,159919C2509M004400,4.4000,0.0995,0
2025-07-25,0.0033,0.0049,0.0033,0.004,18350,沪深300ETF沽9月3600,362,-1,NAN,0.143,0,0,0.0049,0.0033,159919P2509M003600,3.6000,0.0040,3.576
2025-07-25,0.012,0.015,0.0119,0.0138,10108,沪深300ETF沽9月3900,238,-1,NAN,0.155,0,0,0.0150,0.0119,159919P2509M003900,3.9000,0.0138,3.874
2025-07-25,0.0334,0.0422,0.0334,0.0376,31238,沪深300ETF沽9月4100,418,-1,NAN,0.1629,0,0,0.0422,0.0334,159919P2509M004100,4.1000,0.0376,4.0727
2025-07-25,0.0423,0.0469,0.0416,0.0448,2510,沪深300ETF沽9月4132A,52,-1,NAN,0.1642,0,0,0.0469,0.0416,159919P2509M004200A,4.1320,0.0448,4.1045
2025-07-25,0.0592,0.0666,0.0587,0.0638,74876,沪深300ETF沽9月4200,750,-1,NAN,0.1669,0,0,0.0666,0.0587,159919P2509M004200,4.2000,0.0638,4.172
2025-07-25,0.0922,0.109,0.0922,0.1035,65230,沪深300ETF沽9月4300,1024,-1,NAN,0.1709,0,0,0.1090,0.0922,159919P2509M004300,4.3000,0.1035,4.2714
2025-07-25,0.107,0.1218,0.107,0.1179,2848,沪深300ETF沽9月4329A,90,-1,NAN,0.172,0,0,0.1218,0.1070,159919P2509M004400A,4.3290,0.1179,4.3002
2025-07-25,0.1571,0.1634,0.1555,0.1628,3012,沪深300ETF沽9月4400,87,-1,NAN,0.1748,0,0,0.1634,0.1555,159919P2509M004400,4.4000,0.1628,4.3707
2025-07-25,0.1718,0.1802,0.1718,0.1802,182,沪深300ETF沽9月4428A,16,-1,NAN,0.1759,0,0,0.1802,0.1718,159919P2509M004500A,4.4280,0.1802,4.3985
2025-07-25,0.7943,0.8004,0.774,0.784,395917,300ETF购9月3423A,162,1,0,-0.136,0,0.0008,0.8004,0.7740,510300C2509A03500,3.4230,0.7840,0.8028
2025-07-25,0.6021,0.6077,0.5802,0.5943,139957,300ETF购9月3618A,44,0.9999,0.0012,-0.1439,0.0004,0.0008,0.6077,0.5802,510300C2509A03700,3.6180,0.5943,0.6091
2025-07-25,0.511,0.5145,0.4906,0.4907,647124,300ETF购9月3716A,169,0.9994,0.0129,-0.1487,0.0038,0.0008,0.5145,0.4906,510300C2509A03800,3.7160,0.4907,0.5118
2025-07-25,0.3281,0.3334,0.311,0.3173,890927,300ETF购9月3912A,362,0.9748,0.3452,-0.1811,0.1009,0.0763,0.3334,0.3110,510300C2509A04000,3.9120,0.3173,0.3187
2025-07-25,0.2501,0.2544,0.2306,0.24,2206377,300ETF购9月4009A,953,0.9119,0.9393,-0.2256,0.2747,0.1342,0.2544,0.2306,510300C2509A04100,4.0090,0.2400,0.2277
2025-07-25,0.022,0.0269,0.0217,0.025,2672786,300ETF沽9月3912A,1798,-0.0252,0.3452,-0.0256,0.1009,0.1883,0.0269,0.0217,510300P2509A04000,3.9120,0.0250,0.0016
2025-07-25,0.0387,0.0454,0.0384,0.0429,2743582,300ETF沽9月4009A,732,-0.0881,0.9393,-0.0663,0.2747,0.1844,0.0454,0.0384,510300P2509A04100,4.0090,0.0429,0.007
2025-07-25,0.0095,0.0095,0.0094,0.0094,114,深证100ETF沽9月2600,11,-1,NAN,0.1033,0,0,0.0095,0.0094,159901P2509M002600,2.6000,0.0094,2.5827
2025-07-25,0.0193,0.0209,0.0193,0.0208,9840,深证100ETF沽9月2700,201,-1,NAN,0.1073,0,0,0.0209,0.0193,159901P2509M002700,2.7000,0.0208,2.682
2025-07-25,0.0279,0.0305,0.027,0.0303,12798,深证100ETF沽9月2750,233,-1,NAN,0.1093,0,0,0.0305,0.0270,159901P2509M002750,2.7500,0.0303,2.7317
2025-07-25,0.1036,0.109,0.1003,0.108,2146,深证100ETF沽9月2950,50,-1,NAN,0.1172,0,0,0.1090,0.1003,159901P2509M002950,2.9500,0.1080,2.9303
2025-07-25,0.1346,0.1419,0.1346,0.1419,732,深证100ETF沽9月3000,40,-1,NAN,0.1192,0,0,0.1419,0.1346,159901P2509M003000,3.0000,0.1419,2.98
2025-07-25,0.2041,0.215,0.204,0.2129,6408,深证100ETF沽9月3100,165,-1,NAN,0.1232,0,0,0.2150,0.2040,159901P2509M003100,3.1000,0.2129,3.0793
2025-07-25,0.235,0.235,0.2333,0.2342,513,科创板50购9月850,31,1,0.0002,-0.0338,0,0.0007,0.2350,0.2333,588080C2509M00850,0.8500,0.2342,0.2377
2025-07-25,0.165,0.1903,0.1605,0.1903,42733,科创板50购9月900,159,0.9998,0.0134,-0.0359,0.0003,0.282,0.1903,0.1605,588080C2509M00900,0.9000,0.1903,0.188
2025-07-25,0.0022,0.0035,0.0022,0.0027,164386,科创板50沽9月900,1447,-0.0002,0.0134,-0.0001,0.0003,0.2914,0.0035,0.0022,588080P2509M00900,0.9000,0.0027,0
2025-07-25,0.018,0.0206,0.0126,0.0137,3982315,科创板50沽9月1000,4001,-0.0553,1.8936,-0.0173,0.0494,0.2646,0.0206,0.0126,588080P2509M01000,1.0000,0.0137,0.0014
2025-07-25,0.2487,0.2498,0.2487,0.2498,18080,科创板50沽9月1300,48,-0.9994,0.0382,0.0512,0.001,0.5175,0.2498,0.2487,588080P2509M01300,1.3000,0.2498,0.2093
2025-07-25,0.2385,0.266,0.2375,0.263,37148,科创50购9月850,151,1,0,-0.0338,0,0.0007,0.2660,0.2375,588000C2509M00850,0.8500,0.2630,0.2647
2025-07-25,0.0428,0.0582,0.0421,0.0557,131063968,科创50购9月1100,41344,0.6164,6.2324,-0.096,0.1731,0.2624,0.0582,0.0421,588000C2509M01100,1.1000,0.0557,0.0333
2025-07-25,0.1318,0.1361,0.1118,0.1148,2800322,科创50沽9月1200,1120,-0.8995,2.8742,0.0111,0.0798,0.3471,0.1361,0.1118,588000P2509M01200,1.2000,0.1148,0.0859
2025-07-25,0.222,0.2232,0.199,0.2026,65546,科创50沽9月1300,417,-0.9968,0.1577,0.0497,0.0044,0.4136,0.2232,0.1990,588000P2509M01300,1.3000,0.2026,0.1824
2025-07-25,1.2869,1.291,1.2706,1.291,280094,500ETF购9月5000,55,1,0,-0.1987,0,0.0009,1.2910,1.2706,510500C2509M05000,5.0000,1.2910,1.3983
2025-07-25,0.8104,0.815,0.7823,0.8096,2847344,500ETF购9月5500,471,0.9994,0.007,-0.2203,0.0055,0.0009,0.8150,0.7823,510500C2509M05500,5.5000,0.8096,0.9017
2025-07-25,0.5738,0.589,0.556,0.5707,11036884,500ETF购9月5750,1660,0.9893,0.0933,-0.2513,0.0734,0.0009,0.5890,0.5560,510500C2509M05750,5.7500,0.5707,0.6544
2025-07-25,0.2271,0.2345,0.213,0.2261,99548252,500ETF购9月6250,9706,0.7081,1.1346,-0.4826,0.8934,0.1301,0.2345,0.2130,510500C2509M06250,6.2500,0.2261,0.2136
