代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009602,科创板50沽8月1250,,,,,,,1.25,48.0,,,,10,0.003,0.243,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009601,科创板50购8月1250,,,,,,,1.25,48.0,,,,10,0.0033,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009600,50ETF沽8月2600,,,,,,,2.6,48.0,,,,10,0.0051,0.0,0.0,,上证50ETF,2.858,20.42,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009599,50ETF购8月2600,,,,,,,2.6,48.0,,,,10,-0.0046,0.258,0.0,,上证50ETF,2.858,20.42,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009598,科创板50沽8月1200,,,,,,,1.2,48.0,,,,10,0.0045,0.193,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009597,科创板50沽8月1150,,,,,,,1.15,48.0,,,,10,0.0066,0.143,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009596,科创板50沽8月1100,,,,,,,1.1,48.0,,,,10,0.0109,0.093,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009595,科创板50沽8月1050,,,,,,,1.05,48.0,,,,10,0.0189,0.043,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009594,科创板50沽8月1000,,,,,,,1.0,48.0,,,,10,0.0309,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009593,科创板50沽8月950,,,,,,,0.95,48.0,,,,10,0.0124,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009592,科创板50沽8月900,,,,,,,0.9,48.0,,,,10,0.0048,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009591,科创板50沽8月850,,,,,,,0.85,48.0,,,,10,0.0022,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009590,科创板50沽8月800,,,,,,,0.8,48.0,,,,10,0.0012,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009589,科创板50购8月1200,,,,,,,1.2,48.0,,,,10,0.0044,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009588,科创板50购8月1150,,,,,,,1.15,48.0,,,,10,0.0061,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009587,科创板50购8月1100,,,,,,,1.1,48.0,,,,10,0.0104,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009586,科创板50购8月1050,,,,,,,1.05,48.0,,,,10,0.0,0.0,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009585,科创板50购8月1000,,,,,,,1.0,48.0,,,,10,0.0,0.007,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009584,科创板50购8月950,,,,,,,0.95,48.0,,,,10,0.0,0.057,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009583,科创板50购8月900,,,,,,,0.9,48.0,,,,10,0.0,0.107,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009582,科创板50购8月850,,,,,,,0.85,48.0,,,,10,0.0,0.157,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009581,科创板50购8月800,,,,,,,0.8,48.0,,,,10,0.0,0.207,0.0,,科创板50ETF,1.007,41.19,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009580,科创50沽8月1250,,,,,,,1.25,48.0,,,,10,0.0,0.217,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009579,科创50沽8月1200,,,,,,,1.2,48.0,,,,10,0.0,0.167,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009578,科创50沽8月1150,,,,,,,1.15,48.0,,,,10,0.0,0.117,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009577,科创50沽8月1100,,,,,,,1.1,48.0,,,,10,0.0,0.067,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009576,科创50沽8月1050,,,,,,,1.05,48.0,,,,10,0.0,0.017,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009575,科创50沽8月1000,,,,,,,1.0,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009574,科创50沽8月950,,,,,,,0.95,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009573,科创50沽8月900,,,,,,,0.9,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009572,科创50沽8月850,,,,,,,0.85,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009571,科创50购8月1250,,,,,,,1.25,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009570,科创50购8月1200,,,,,,,1.2,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009569,科创50购8月1150,,,,,,,1.15,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009568,科创50购8月1100,,,,,,,1.1,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009567,科创50购8月1050,,,,,,,1.05,48.0,,,,10,0.0,0.0,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009566,科创50购8月1000,,,,,,,1.0,48.0,,,,10,0.0,0.033,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009565,科创50购8月950,,,,,,,0.95,48.0,,,,10,0.0,0.083,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009564,科创50购8月900,,,,,,,0.9,48.0,,,,10,0.0,0.133,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009563,科创50购8月850,,,,,,,0.85,48.0,,,,10,0.0,0.183,0.0,,科创50ETF,1.033,41.85,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009562,500ETF沽8月7000,,,,,,,7.0,48.0,,,,10,0.0,0.962,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009561,500ETF沽8月6750,,,,,,,6.75,48.0,,,,10,0.0,0.712,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009560,500ETF沽8月6500,,,,,,,6.5,48.0,,,,10,0.0,0.462,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009559,500ETF沽8月6250,,,,,,,6.25,48.0,,,,10,0.0,0.212,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009558,500ETF沽8月6000,,,,,,,6.0,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009557,500ETF沽8月5750,,,,,,,5.75,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009556,500ETF沽8月5500,,,,,,,5.5,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009555,500ETF沽8月5250,,,,,,,5.25,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009554,500ETF沽8月5000,,,,,,,5.0,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009553,500ETF购8月7000,,,,,,,7.0,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009552,500ETF购8月6750,,,,,,,6.75,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009551,500ETF购8月6500,,,,,,,6.5,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009550,500ETF购8月6250,,,,,,,6.25,48.0,,,,10,0.0,0.0,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009549,500ETF购8月6000,,,,,,,6.0,48.0,,,,10,0.0,0.038,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009548,500ETF购8月5750,,,,,,,5.75,48.0,,,,10,0.0,0.288,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009547,500ETF购8月5500,,,,,,,5.5,48.0,,,,10,0.0,0.538,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009546,500ETF购8月5250,,,,,,,5.25,48.0,,,,10,0.0,0.788,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009545,500ETF购8月5000,,,,,,,5.0,48.0,,,,10,0.0,1.038,0.0,,中证500ETF,6.038,26.95,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009544,300ETF沽8月4400,,,,,,,4.4,48.0,,,,10,0.0,0.335,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009543,300ETF沽8月4300,,,,,,,4.3,48.0,,,,10,0.0,0.235,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009542,300ETF沽8月4200,,,,,,,4.2,48.0,,,,10,0.0,0.135,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009541,300ETF沽8月4100,,,,,,,4.1,48.0,,,,10,0.0,0.035,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009540,300ETF沽8月4000,,,,,,,4.0,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009539,300ETF沽8月3900,,,,,,,3.9,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009538,300ETF沽8月3800,,,,,,,3.8,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009537,300ETF沽8月3700,,,,,,,3.7,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009536,300ETF沽8月3600,,,,,,,3.6,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009535,300ETF购8月4400,,,,,,,4.4,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009534,300ETF购8月4300,,,,,,,4.3,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009533,300ETF购8月4200,,,,,,,4.2,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009532,300ETF购8月4100,,,,,,,4.1,48.0,,,,10,0.0,0.0,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009531,300ETF购8月4000,,,,,,,4.0,48.0,,,,10,0.0,0.065,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009530,300ETF购8月3900,,,,,,,3.9,48.0,,,,10,0.0,0.165,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009529,300ETF购8月3800,,,,,,,3.8,48.0,,,,10,0.0,0.265,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009528,300ETF购8月3700,,,,,,,3.7,48.0,,,,10,0.0,0.365,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009527,300ETF购8月3600,,,,,,,3.6,48.0,,,,10,0.0,0.465,0.0,,沪深300ETF,4.065,23.48,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009526,50ETF沽8月3100,,,,,,,3.1,48.0,,,,10,0.0,0.242,0.0,,上证50ETF,2.858,20.42,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009525,50ETF沽8月3000,,,,,,,3.0,48.0,,,,10,0.0,0.142,0.0,,上证50ETF,2.858,20.42,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
