代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009754,科创50沽3月1350,,,,,,,1.35,237.0,,0.2862,,10,0.0,0.249,0.0,,科创50ETF,1.101,41.29,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009753,科创50购3月1350,,,,,,,1.35,237.0,,0.0541,,10,0.0,0.0,0.0,,科创50ETF,1.101,41.29,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009752,科创50沽12月1350,,,,,,,1.35,146.0,,0.2671,,10,0.0181,0.249,0.0,,科创50ETF,1.101,41.29,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009751,科创50购12月1350,,,,,,,1.35,146.0,,0.0338,,10,0.0338,0.0,0.0,,科创50ETF,1.101,41.29,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009750,科创50沽8月1350,,,,,,,1.35,27.0,,0.238,,10,0.0,0.249,0.0,,科创50ETF,1.101,41.29,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009749,科创50购8月1350,,,,,,,1.35,27.0,,0.0018,,10,0.0,0.0,0.0,,科创50ETF,1.101,41.29,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009748,500ETF沽3月7500,,,,,,,7.5,237.0,,1.5006,,10,0.0,1.203,0.0,,中证500ETF,6.297,26.38,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009747,500ETF购3月7500,,,,,,,7.5,237.0,,0.0762,,10,0.0,0.0,0.0,,中证500ETF,6.297,26.38,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009746,500ETF沽12月7500,,,,,,,7.5,146.0,,1.3628,,10,0.1598,1.203,0.0,,中证500ETF,6.297,26.38,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009745,500ETF购12月7500,,,,,,,7.5,146.0,,0.0485,,10,0.0485,0.0,0.0,,中证500ETF,6.297,26.38,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009744,500ETF沽9月7500,,,,,,,7.5,55.0,,1.2082,,10,0.0,1.203,0.0,,中证500ETF,6.297,26.38,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009743,500ETF购9月7500,,,,,,,7.5,55.0,,0.0143,,10,0.0,0.0,0.0,,中证500ETF,6.297,26.38,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009742,500ETF沽8月7500,,,,,,,7.5,27.0,,1.1545,,10,0.0,1.203,0.0,,中证500ETF,6.297,26.38,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009741,500ETF购8月7500,,,,,,,7.5,27.0,,0.0027,,10,0.0,0.0,0.0,,中证500ETF,6.297,26.38,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009740,科创板50沽3月1300,,,,,,,1.3,237.0,,0.2714,,10,0.0,0.226,0.0,,科创板50ETF,1.074,40.56,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009739,科创板50购3月1300,,,,,,,1.3,237.0,,0.056,,10,0.0,0.0,0.0,,科创板50ETF,1.074,40.56,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009738,科创板50沽12月1300,,,,,,,1.3,146.0,,0.248,,10,0.022,0.226,0.0,,科创板50ETF,1.074,40.56,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009737,科创板50购12月1300,,,,,,,1.3,146.0,,0.0347,,10,0.0347,0.0,0.0,,科创板50ETF,1.074,40.56,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009736,科创板50沽8月1300,,,,,,,1.3,27.0,,0.2156,,10,0.0,0.226,0.0,,科创板50ETF,1.074,40.56,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009735,科创板50购8月1300,,,,,,,1.3,27.0,,0.0025,,10,0.0,0.0,0.0,,科创板50ETF,1.074,40.56,2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009734,科创50沽3月1300,,,,,,,1.3,237.0,,0.2467,,10,0.0,0.199,0.0,,科创50ETF,1.101,41.29,2026-03-25,4.25,0.0,0.0,0.0,0.0,0.0,0.0
10009733,科创50购3月1300,,,,,,,1.3,237.0,,0.0628,,10,0.0,0.0,0.0,,科创50ETF,1.101,41.29,2026-03-25,22.94,0.0,0.0,0.0,0.0,0.0,0.0
10009732,科创50沽8月1300,,,,,,,1.3,27.0,,0.188,,10,0.0,0.199,0.0,,科创50ETF,1.101,41.29,2025-08-27,5.14,0.0,0.0,0.0,0.0,0.0,0.0
10009731,科创50购8月1300,,,,,,,1.3,27.0,,0.0027,,10,0.0,0.0,0.0,,科创50ETF,1.101,41.29,2025-08-27,440.4,0.0,0.0,0.0,0.0,0.0,0.0
10009730,50ETF沽3月3300,,,,,,,3.3,237.0,,0.3932,,10,0.0,0.401,0.0,,上证50ETF,2.899,20.25,2026-03-25,7.44,0.0,0.0,0.0,0.0,0.0,0.0
10009729,50ETF购3月3300,,,,,,,3.3,237.0,,0.0608,,10,0.0,0.0,0.0,,上证50ETF,2.899,20.25,2026-03-25,51.49,0.0,0.0,0.0,0.0,0.0,0.0
