代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10009418,科创板50沽7月1250,,,,,,,1.25,44.0,,,,10,0.0,0.223,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009417,科创板50购7月1250,,,,,,,1.25,44.0,,,,10,0.0,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009416,科创50沽7月1250,,,,,,,1.25,44.0,,,,10,0.0261,0.197,0.0,,科创50ETF,1.053,42.09,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009415,科创50购7月1250,,,,,,,1.25,44.0,,,,10,0.0021,0.0,0.0,,科创50ETF,1.053,42.09,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009414,300ETF沽7月4400,,,,,,,4.4,44.0,,,,10,0.0355,0.405,0.0,,沪深300ETF,3.995,22.93,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009413,300ETF购7月4400,,,,,,,4.4,44.0,,,,10,0.0048,0.0,0.0,,沪深300ETF,3.995,22.93,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009412,科创板50沽7月1200,,,,,,,1.2,44.0,,,,10,0.0275,0.173,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009411,科创板50沽7月1150,,,,,,,1.15,44.0,,,,10,0.0292,0.123,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009410,科创板50沽7月1100,,,,,,,1.1,44.0,,,,10,0.0331,0.073,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009409,科创板50沽7月1050,,,,,,,1.05,44.0,,,,10,0.0407,0.023,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009408,科创板50沽7月1000,,,,,,,1.0,44.0,,,,10,0.0308,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009407,科创板50沽7月950,,,,,,,0.95,44.0,,,,10,0.0131,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009406,科创板50沽7月900,,,,,,,0.9,44.0,,,,10,0.0057,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009405,科创板50沽7月850,,,,,,,0.85,44.0,,,,10,0.003,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009404,科创板50沽7月800,,,,,,,0.8,44.0,,,,10,0.0017,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009403,科创板50购7月1200,,,,,,,1.2,44.0,,,,10,0.0026,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009402,科创板50购7月1150,,,,,,,1.15,44.0,,,,10,0.0043,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009401,科创板50购7月1100,,,,,,,1.1,44.0,,,,10,0.0076,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009400,科创板50购7月1050,,,,,,,1.05,44.0,,,,10,0.0157,0.0,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009399,科创板50购7月1000,,,,,,,1.0,44.0,,,,10,0.0064,0.027,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009398,科创板50购7月950,,,,,,,0.95,44.0,,,,10,-0.0119,0.077,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009397,科创板50购7月900,,,,,,,0.9,44.0,,,,10,-0.013,0.127,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009396,科创板50购7月850,,,,,,,0.85,44.0,,,,10,-0.013,0.177,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009395,科创板50购7月800,,,,,,,0.8,44.0,,,,10,-0.013,0.227,0.0,,科创板50ETF,1.027,41.45,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009394,科创50沽7月1200,,,,,,,1.2,44.0,,,,10,0.027,0.147,0.0,,科创50ETF,1.053,42.09,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009393,科创50沽7月1150,,,,,,,1.15,44.0,,,,10,0.0299,0.097,0.0,,科创50ETF,1.053,42.09,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009392,科创50沽7月1100,,,,,,,1.1,44.0,,,,10,0.0346,0.047,0.0,,科创50ETF,1.053,42.09,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009391,科创50沽7月1050,,,,,,,1.05,44.0,,,,10,0.044,0.0,0.0,,科创50ETF,1.053,42.09,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009390,科创50沽7月1000,,,,,,,1.0,44.0,,,,10,0.0193,0.0,0.0,,科创50ETF,1.053,42.09,2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
