日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-03-27,0.2094,0.2312,0.185,0.2159,18730,中证500ETF购4月2150,169,0,NAN,0,0,0,0.2312,0.1850,159922C2504M002150,2.1500,0.2159,0
2025-03-27,0.0766,0.0965,0.0626,0.083,3201062,中证500ETF购4月2300,4173,0,NAN,0,0,0,0.0965,0.0626,159922C2504M002300,2.3000,0.0830,0
2025-03-27,0.027,0.0368,0.021,0.0289,27561031,中证500ETF购4月2400,15798,0,NAN,0,0,0,0.0368,0.0210,159922C2504M002400,2.4000,0.0289,0
2025-03-27,0.0084,0.0107,0.0064,0.0082,8604482,中证500ETF购4月2500,9382,0,NAN,0,0,0,0.0107,0.0064,159922C2504M002500,2.5000,0.0082,0
2025-03-27,0.0043,0.0054,0.0035,0.0047,257562,中证500ETF购4月2550,1677,0,NAN,0,0,0,0.0054,0.0035,159922C2504M002550,2.5500,0.0047,0
2025-03-27,0.0028,0.0035,0.0024,0.0026,154422,中证500ETF购4月2600,1268,0,NAN,0,0,0,0.0035,0.0024,159922C2504M002600,2.6000,0.0026,0
2025-03-27,0.0018,0.0018,0.0016,0.0016,162860,中证500ETF购4月2650,1510,0,NAN,0,0,0,0.0018,0.0016,159922C2504M002650,2.6500,0.0016,0
2025-03-27,0.0251,0.0334,0.0166,0.0215,19077154,中证500ETF沽4月2300,13941,-1,NAN,0.0917,0,0,0.0334,0.0166,159922P2504M002300,2.3000,0.0215,2.2932
2025-03-27,0.0488,0.058,0.032,0.039,54403462,中证500ETF沽4月2350,21278,-1,NAN,0.0937,0,0,0.0580,0.0320,159922P2504M002350,2.3500,0.0390,2.3431
2025-03-27,0.0743,0.0915,0.0566,0.068,20535550,中证500ETF沽4月2400,12520,-1,NAN,0.0957,0,0,0.0915,0.0566,159922P2504M002400,2.4000,0.0680,2.3929
2025-03-27,0.162,0.1757,0.1316,0.1476,42796,中证500ETF沽4月2500,346,-1,NAN,0.0997,0,0,0.1757,0.1316,159922P2504M002500,2.5000,0.1476,2.4926
2025-03-27,0.2061,0.2214,0.1831,0.1911,2040,中证500ETF沽4月2550,86,-1,NAN,0.1017,0,0,0.2214,0.1831,159922P2504M002550,2.5500,0.1911,2.5425
2025-03-27,0.2544,0.2691,0.225,0.2397,1314,中证500ETF沽4月2600,41,-1,NAN,0.1037,0,0,0.2691,0.2250,159922P2504M002600,2.6000,0.2397,2.5923
2025-03-27,0.3077,0.3196,0.2774,0.284,2458,中证500ETF沽4月2650,150,-1,NAN,0.1057,0,0,0.3196,0.2774,159922P2504M002650,2.6500,0.2840,2.6422
2025-03-27,0.2077,0.2272,0.1987,0.2139,445477,50ETF购5月2550,192,0.9274,0.8711,-0.1575,0.1565,0.0008,0.2272,0.1987,510050C2505M02550,2.5500,0.2139,0.2225
2025-03-27,0.1633,0.1817,0.1566,0.1715,834805,50ETF购5月2600,252,0.8686,1.3445,-0.1879,0.2415,0.1059,0.1817,0.1566,510050C2505M02600,2.6000,0.1715,0.1783
2025-03-27,0.1236,0.1415,0.117,0.129,5049215,50ETF购5月2650,1264,0.785,1.8431,-0.2172,0.3311,0.1108,0.1415,0.1170,510050C2505M02650,2.6500,0.1290,0.1379
2025-03-27,0.0901,0.1063,0.0835,0.0953,11308177,50ETF购5月2700,2495,0.679,2.2589,-0.2377,0.4058,0.1221,0.1063,0.0835,510050C2505M02700,2.7000,0.0953,0.1024
2025-03-27,0.061,0.0761,0.0581,0.0671,30801897,50ETF购5月2750,6783,0.5583,2.4899,-0.2427,0.4473,0.1272,0.0761,0.0581,510050C2505M02750,2.7500,0.0671,0.0728
2025-03-27,0.0444,0.0532,0.0342,0.0462,15152498,50ETF购5月2800,3290,0.4341,2.4824,-0.2294,0.446,0.133,0.0532,0.0342,510050C2505M02800,2.8000,0.0462,0.0493
2025-03-27,0.031,0.036,0.0223,0.0301,18108996,50ETF购5月2850,4641,0.3181,2.2505,-0.2002,0.4043,0.1358,0.0360,0.0223,510050C2505M02850,2.8500,0.0301,0.0317
2025-03-27,0.0217,0.0242,0.0152,0.02,26787986,50ETF购5月2900,6895,0.2193,1.8643,-0.1612,0.3349,0.1417,0.0242,0.0152,510050C2505M02900,2.9000,0.0200,0.0194
2025-03-27,0.0144,0.0161,0.0115,0.014,5258733,50ETF购5月2950,7213,0.142,1.4179,-0.12,0.2547,0.1503,0.0161,0.0115,510050C2505M02950,2.9500,0.0140,0.0112
2025-03-27,0.0092,0.0092,0.0045,0.0059,977346,50ETF沽5月2550,2502,-0.0726,0.8711,-0.0562,0.1565,0.1439,0.0092,0.0045,510050P2505M02550,2.5500,0.0059,0.0052
2025-03-27,0.0155,0.0155,0.009,0.0113,4800661,50ETF沽5月2600,5364,-0.1314,1.3445,-0.0846,0.2415,0.1422,0.0155,0.0090,510050P2505M02600,2.6000,0.0113,0.0107
2025-03-27,0.0262,0.0262,0.0176,0.0208,33342676,50ETF沽5月2650,7198,-0.215,1.8431,-0.1119,0.3311,0.1423,0.0262,0.0176,510050P2505M02650,2.6500,0.0208,0.02
