代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,持仓量,行权价,剩余日,日增,昨结,今开,市场标识,时间价值,内在价值,隐含波动率,理论价格,标的名称,标的最新价,标的近一年波动率,到期日,杠杆比率,实际杠杆比率,Delta,Gamma,Vega,Rho,Theta
10010046,科创板50沽3月1650,,,,,,,1.65,182.0,,0.3537,,10,0.0,0.155,0.0,,科创板50ETF,1.495,38.42,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010045,科创板50购3月1650,,,,,,,1.65,182.0,,0.0803,,10,0.0,0.0,0.0,,科创板50ETF,1.495,38.42,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010044,科创板50沽12月1650,,,,,,,1.65,91.0,,0.3032,,10,0.0,0.155,0.0,,科创板50ETF,1.495,38.42,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010043,科创板50购12月1650,,,,,,,1.65,91.0,,0.0493,,10,0.0,0.0,0.0,,科创板50ETF,1.495,38.42,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010042,科创板50沽10月1650,,,,,,,1.65,28.0,,0.2381,,10,0.0,0.155,0.0,,科创板50ETF,1.495,38.42,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010041,科创板50购10月1650,,,,,,,1.65,28.0,,0.0153,,10,0.0,0.0,0.0,,科创板50ETF,1.495,38.42,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010040,科创板50沽9月1650,,,,,,,1.65,0.0,,0.2092,,10,0.0,0.155,0.0,,科创板50ETF,1.495,38.42,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010039,科创板50购9月1650,,,,,,,1.65,0.0,,0.0001,,10,0.0,0.0,0.0,,科创板50ETF,1.495,38.42,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010038,科创50沽3月1700,,,,,,,1.7,182.0,,0.371,,10,0.0,0.17,0.0,,科创50ETF,1.53,38.69,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010037,科创50购3月1700,,,,,,,1.7,182.0,,0.0744,,10,0.0,0.0,0.0,,科创50ETF,1.53,38.69,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010036,科创50沽12月1700,,,,,,,1.7,91.0,,0.3125,,10,0.0,0.17,0.0,,科创50ETF,1.53,38.69,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010035,科创50购12月1700,,,,,,,1.7,91.0,,0.0472,,10,0.0,0.0,0.0,,科创50ETF,1.53,38.69,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010034,科创50沽10月1700,,,,,,,1.7,28.0,,0.2515,,10,0.0,0.17,0.0,,科创50ETF,1.53,38.69,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010033,科创50购10月1700,,,,,,,1.7,28.0,,0.0134,,10,0.0,0.0,0.0,,科创50ETF,1.53,38.69,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010032,科创50沽9月1700,,,,,,,1.7,0.0,,0.225,,10,0.0,0.17,0.0,,科创50ETF,1.53,38.69,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010031,科创50购9月1700,,,,,,,1.7,0.0,,0.0001,,10,0.0,0.0,0.0,,科创50ETF,1.53,38.69,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010030,300ETF沽3月5250,,,,,,,5.25,182.0,,0.7286,,10,0.1362,0.587,0.0,,沪深300ETF,4.663,19.94,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010029,300ETF购3月5250,,,,,,,5.25,182.0,,0.0734,,10,0.0715,0.0,0.0,,沪深300ETF,4.663,19.94,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010028,300ETF沽12月5250,,,,,,,5.25,91.0,,0.6761,,10,0.0882,0.587,0.0,,沪深300ETF,4.663,19.94,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010027,300ETF购12月5250,,,,,,,5.25,91.0,,0.0329,,10,0.0313,0.0,0.0,,沪深300ETF,4.663,19.94,2025-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010026,300ETF沽10月5250,,,,,,,5.25,28.0,,0.6383,,10,0.0,0.587,0.0,,沪深300ETF,4.663,19.94,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010025,300ETF购10月5250,,,,,,,5.25,28.0,,0.0055,,10,0.0,0.0,0.0,,沪深300ETF,4.663,19.94,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010024,300ETF沽9月5250,,,,,,,5.25,0.0,,0.6316,,10,0.0,0.587,0.0,,沪深300ETF,4.663,19.94,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010023,300ETF购9月5250,,,,,,,5.25,0.0,,0.0001,,10,0.0,0.0,0.0,,沪深300ETF,4.663,19.94,2025-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010022,科创板50沽10月1050,,,,,,,1.05,28.0,,0.0019,,10,0.0,0.0,0.0,,科创板50ETF,1.495,38.42,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010021,科创板50购10月1050,,,,,,,1.05,28.0,,0.392,,10,0.0,0.445,0.0,,科创板50ETF,1.495,38.42,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010020,科创50沽10月1100,,,,,,,1.1,28.0,,0.0023,,10,0.0,0.0,0.0,,科创50ETF,1.53,38.69,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010019,科创50购10月1100,,,,,,,1.1,28.0,,0.375,,10,0.0,0.43,0.0,,科创50ETF,1.53,38.69,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010018,500ETF沽10月5750,,,,,,,5.75,28.0,,0.0053,,10,0.0,0.0,0.0,,中证500ETF,7.432,23.06,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010017,500ETF购10月5750,,,,,,,5.75,28.0,,1.527,,10,0.0,1.682,0.0,,中证500ETF,7.432,23.06,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010016,50ETF沽10月2800,,,,,,,2.8,28.0,,0.0042,,10,0.0,0.0,0.0,,上证50ETF,3.072,17.57,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010015,50ETF购10月2800,,,,,,,2.8,28.0,,0.2605,,10,0.0,0.272,0.0,,上证50ETF,3.072,17.57,2025-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010014,500ETF沽3月8250,,,,,,,8.25,182.0,,1.4749,,10,0.6045,0.818,0.0,,中证500ETF,7.432,23.06,2026-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
