日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-07-07,0.426,0.4321,0.4247,0.4321,5013,50ETF购9月2400,6,1,0.0011,-0.0952,0.0002,0.0007,0.4321,0.4247,510050C2509M02400,2.4000,0.4321,0.4487
2025-07-07,0.0285,0.0285,0.0254,0.0264,7377178,50ETF购9月3000,9278,0.1282,1.7007,-0.0738,0.2756,0.1465,0.0285,0.0254,510050C2509M03000,3.0000,0.0264,0.0077
2025-07-07,0.1966,0.204,0.195,0.1966,47579,50ETF沽9月3000,132,-0.8718,1.7007,0.0452,0.2756,0.2011,0.2040,0.1950,510050P2509M03000,3.0000,0.1966,0.1539
2025-07-07,0.602,0.602,0.5888,0.5888,48,沪深300ETF购9月3542A,4,0,NAN,0,0,0,0.6020,0.5888,159919C2509M003600A,3.5420,0.5888,0
2025-07-07,0.5384,0.5384,0.5384,0.5384,168,沪深300ETF购9月3600,28,0,NAN,0,0,0,0.5384,0.5384,159919C2509M003600,3.6000,0.5384,0
2025-07-07,0.4968,0.4968,0.4968,0.4968,50,沪深300ETF购9月3641A,5,0,NAN,0,0,0,0.4968,0.4968,159919C2509M003700A,3.6410,0.4968,0
2025-07-07,0.4413,0.4413,0.4413,0.4413,50,沪深300ETF购9月3700,5,0,NAN,0,0,0,0.4413,0.4413,159919C2509M003700,3.7000,0.4413,0
2025-07-07,0.3659,0.3659,0.3498,0.35,76,沪深300ETF购9月3800,7,0,NAN,0,0,0,0.3659,0.3498,159919C2509M003800,3.8000,0.3500,0
2025-07-07,0.3301,0.3301,0.3301,0.3301,10,沪深300ETF购9月3837A,1,0,NAN,0,0,0,0.3301,0.3301,159919C2509M003900A,3.8370,0.3301,0
2025-07-07,0.2809,0.2809,0.2665,0.2707,32,沪深300ETF购9月3900,3,0,NAN,0,0,0,0.2809,0.2665,159919C2509M003900,3.9000,0.2707,0
2025-07-07,0.1943,0.1944,0.1855,0.1944,786,沪深300ETF购9月4000,48,0,NAN,0,0,0,0.1944,0.1855,159919C2509M004000,4.0000,0.1944,0
2025-07-07,0.1692,0.1692,0.1692,0.1692,6,沪深300ETF购9月4034A,1,0,NAN,0,0,0,0.1692,0.1692,159919C2509M004100A,4.0340,0.1692,0
2025-07-07,0.1314,0.1314,0.1231,0.1298,10206,沪深300ETF购9月4100,203,0,NAN,0,0,0,0.1314,0.1231,159919C2509M004100,4.1000,0.1298,0
2025-07-07,0.1115,0.1137,0.1084,0.1137,356,沪深300ETF购9月4132A,26,0,NAN,0,0,0,0.1137,0.1084,159919C2509M004200A,4.1320,0.1137,0
2025-07-07,0.086,0.0877,0.081,0.0854,25264,沪深300ETF购9月4200,316,0,NAN,0,0,0,0.0877,0.0810,159919C2509M004200,4.2000,0.0854,0
2025-07-07,0.0756,0.0756,0.0728,0.073,1186,沪深300ETF购9月4231A,54,0,NAN,0,0,0,0.0756,0.0728,159919C2509M004300A,4.2310,0.0730,0
2025-07-07,0.056,0.057,0.053,0.0558,5864,沪深300ETF购9月4300,133,0,NAN,0,0,0,0.0570,0.0530,159919C2509M004300,4.3000,0.0558,0
2025-07-07,0.0487,0.0491,0.047,0.0481,324,沪深300ETF购9月4329A,15,0,NAN,0,0,0,0.0491,0.0470,159919C2509M004400A,4.3290,0.0481,0
2025-07-07,0.0377,0.0389,0.035,0.0367,18734,沪深300ETF购9月4400,333,0,NAN,0,0,0,0.0389,0.0350,159919C2509M004400,4.4000,0.0367,0
2025-07-07,0.0329,0.0341,0.0317,0.0341,1772,沪深300ETF购9月4428A,62,0,NAN,0,0,0,0.0341,0.0317,159919C2509M004500A,4.4280,0.0341,0
2025-07-07,0.0256,0.0257,0.022,0.0226,9206,沪深300ETF购9月4526A,210,0,NAN,0,0,0,0.0257,0.0220,159919C2509M004600A,4.5260,0.0226,0
2025-07-07,0.0063,0.0063,0.0053,0.0053,526,沪深300ETF沽9月3542A,44,-1,NAN,0.1405,0,0,0.0063,0.0053,159919P2509M003600A,3.5420,0.0053,3.5115
2025-07-07,0.0079,0.0079,0.0072,0.0072,458,沪深300ETF沽9月3600,43,-1,NAN,0.1428,0,0,0.0079,0.0072,159919P2509M003600,3.6000,0.0072,3.569
2025-07-07,0.0095,0.0095,0.0088,0.0088,2058,沪深300ETF沽9月3641A,135,-1,NAN,0.1444,0,0,0.0095,0.0088,159919P2509M003700A,3.6410,0.0088,3.6096
2025-07-07,0.0117,0.0128,0.0117,0.012,524,沪深300ETF沽9月3700,27,-1,NAN,0.1467,0,0,0.0128,0.0117,159919P2509M003700,3.7000,0.0120,3.6681
2025-07-07,0.0148,0.0153,0.0143,0.0153,11258,沪深300ETF沽9月3739A,234,-1,NAN,0.1483,0,0,0.0153,0.0143,159919P2509M003800A,3.7390,0.0153,3.7068
2025-07-07,0.024,0.0247,0.024,0.024,594,沪深300ETF沽9月3837A,24,-1,NAN,0.1522,0,0,0.0247,0.0240,159919P2509M003900A,3.8370,0.0240,3.8039
