日期,开盘,最高,最低,收盘,成交量,期权合约简称,成交量,Delta,Gamma,Theta,Vega,隐含波动率,最高价,最低价,交易代码,行权价,最新价,理论价值
2025-08-06,0.5236,0.525,0.5176,0.521,149391,50ETF购9月2400,258,1,0,-0.0955,0,0.0007,0.5250,0.5176,510050C2509M02400,2.4000,0.5210,0.5309
2025-08-06,0.4712,0.4712,0.467,0.4705,27482,50ETF购9月2450,15,1,0,-0.0975,0,0.0007,0.4712,0.4670,510050C2509M02450,2.4500,0.4705,0.4811
2025-08-06,0.425,0.425,0.425,0.425,113,50ETF购9月2500,1,1,0,-0.0995,0,0.0007,0.4250,0.4250,510050C2509M02500,2.5000,0.4250,0.4314
2025-08-06,0.3734,0.378,0.37,0.3747,224917,50ETF购9月2550,144,1,0.0006,-0.1015,0.0001,0.0007,0.3780,0.3700,510050C2509M02550,2.5500,0.3747,0.3817
2025-08-06,0.3263,0.33,0.3208,0.3241,338877,50ETF购9月2600,167,0.9999,0.0059,-0.1036,0.0006,0.0007,0.3300,0.3208,510050C2509M02600,2.6000,0.3241,0.3319
2025-08-06,0.273,0.281,0.273,0.2742,133452,50ETF购9月2650,52,0.9988,0.0391,-0.1067,0.0041,0.0007,0.2810,0.2730,510050C2509M02650,2.6500,0.2742,0.2822
2025-08-06,0.2288,0.2339,0.224,0.2285,270402,50ETF购9月2700,179,0.9936,0.183,-0.1132,0.0192,0.0007,0.2339,0.2240,510050C2509M02700,2.7000,0.2285,0.2327
2025-08-06,0.1826,0.188,0.177,0.1831,1090257,50ETF购9月2750,688,0.9741,0.6156,-0.1283,0.0644,0.0793,0.1880,0.1770,510050C2509M02750,2.7500,0.1831,0.1837
2025-08-06,0.139,0.1456,0.1351,0.14,4273796,50ETF购9月2800,1334,0.9203,1.514,-0.156,0.1585,0.1099,0.1456,0.1351,510050C2509M02800,2.8000,0.1400,0.1366
2025-08-06,0.1012,0.1077,0.0989,0.1034,11872652,50ETF购9月2850,2019,0.8105,2.7676,-0.1896,0.2897,0.1223,0.1077,0.0989,510050C2509M02850,2.8500,0.1034,0.0936
2025-08-06,0.0688,0.0765,0.0688,0.073,35577697,50ETF购9月2900,7193,0.641,3.8176,-0.2088,0.3996,0.1288,0.0765,0.0688,510050C2509M02900,2.9000,0.0730,0.0579
2025-08-06,0.047,0.0527,0.0468,0.0502,20527332,50ETF购9月2950,5651,0.4411,4.0304,-0.1941,0.4219,0.1355,0.0527,0.0468,510050C2509M02950,2.9500,0.0502,0.0316
2025-08-06,0.0332,0.0358,0.0317,0.0344,27598041,50ETF购9月3000,7258,0.2581,3.3007,-0.1474,0.3455,0.1434,0.0358,0.0317,510050C2509M03000,3.0000,0.0344,0.015
2025-08-06,0.002,0.002,0.0018,0.0019,11839,50ETF沽9月2400,346,-0,0,0,0,0.2672,0.0020,0.0018,510050P2509M02400,2.4000,0.0019,0
